Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md,
AGO|Angola,24,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.124447439,I,,0
AGO|Angola,24,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.098854447,I,,0
AGO|Angola,24,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.098854447,I,,0
AGO|Angola,24,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.098854447,I,,0
AGO|Angola,24,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.098854447,I,,0
ATG|Antigua and Barbuda,28,Agricultural water withdrawal as % of total renewable water resources,4273,1992,2.087912088,I,,0
ATG|Antigua and Barbuda,28,Agricultural water withdrawal as % of total renewable water resources,4273,1997,2.5,E,,0
ATG|Antigua and Barbuda,28,Agricultural water withdrawal as % of total renewable water resources,4273,2002,2.5,I,,0
ATG|Antigua and Barbuda,28,Agricultural water withdrawal as % of total renewable water resources,4273,2007,2.774725275,I,,0
ATG|Antigua and Barbuda,28,Agricultural water withdrawal as % of total renewable water resources,4273,2012,3.461538462,E,,0
ATG|Antigua and Barbuda,28,Agricultural water withdrawal as % of total renewable water resources,4273,2017,3.461538462,I,,0
ATG|Antigua and Barbuda,28,Agricultural water withdrawal as % of total renewable water resources,4273,2018,3.461538462,I,,0
ARG|Argentina,32,Agricultural water withdrawal as % of total renewable water resources,4273,1997,2.455948142,I,,0
ARG|Argentina,32,Agricultural water withdrawal as % of total renewable water resources,4273,2002,2.588954458,I,,0
ARG|Argentina,32,Agricultural water withdrawal as % of total renewable water resources,4273,2007,2.921470249,I,,0
ARG|Argentina,32,Agricultural water withdrawal as % of total renewable water resources,4273,2012,3.187482881,I,,0
ARG|Argentina,32,Agricultural water withdrawal as % of total renewable water resources,4273,2017,3.187482881,I,,0
ARG|Argentina,32,Agricultural water withdrawal as % of total renewable water resources,4273,2018,3.187482881,I,,0
ARM|Armenia,51,Agricultural water withdrawal as % of total renewable water resources,4273,1997,22.03114944,I,,0
ARM|Armenia,51,Agricultural water withdrawal as % of total renewable water resources,4273,2002,14.67370318,E,,0
ARM|Armenia,51,Agricultural water withdrawal as % of total renewable water resources,4273,2007,24.32745527,E,,0
ARM|Armenia,51,Agricultural water withdrawal as % of total renewable water resources,4273,2012,27.13347921,E,,0
ARM|Armenia,51,Agricultural water withdrawal as % of total renewable water resources,4273,2017,27.03050586,E,,0
ARM|Armenia,51,Agricultural water withdrawal as % of total renewable water resources,4273,2018,24.22448192,E,,0
AUS|Australia,36,Agricultural water withdrawal as % of total renewable water resources,4273,1997,3.131300813,I,,0
AUS|Australia,36,Agricultural water withdrawal as % of total renewable water resources,4273,2002,2.913109756,I,,0
AUS|Australia,36,Agricultural water withdrawal as % of total renewable water resources,4273,2007,1.987195122,I,,0
AUS|Australia,36,Agricultural water withdrawal as % of total renewable water resources,4273,2012,1.948577236,E,,0
AUS|Australia,36,Agricultural water withdrawal as % of total renewable water resources,4273,2017,2.25,E,,0
AUS|Australia,36,Agricultural water withdrawal as % of total renewable water resources,4273,2018,2.444073171,E,,0
AUT|Austria,40,Agricultural water withdrawal as % of total renewable water resources,4273,1982,0.172458173,I,,0
AUT|Austria,40,Agricultural water withdrawal as % of total renewable water resources,4273,1987,0.205920206,I,,0
AUT|Austria,40,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.128700129,I,,0
AUT|Austria,40,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.128700129,E,,0
AUT|Austria,40,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.128700129,E,,0
AUT|Austria,40,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.110279923,I,,0
AUT|Austria,40,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.099227799,I,,0
AUT|Austria,40,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.099227799,I,,0
AUT|Austria,40,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.099227799,I,,0
AZE|Azerbaijan,31,Agricultural water withdrawal as % of total renewable water resources,4273,1992,31.52126893,E,,0
AZE|Azerbaijan,31,Agricultural water withdrawal as % of total renewable water resources,4273,1997,26.68781543,E,,0
AZE|Azerbaijan,31,Agricultural water withdrawal as % of total renewable water resources,4273,2002,18.38788753,E,,0
AZE|Azerbaijan,31,Agricultural water withdrawal as % of total renewable water resources,4273,2007,24.74693583,E,,0
AZE|Azerbaijan,31,Agricultural water withdrawal as % of total renewable water resources,4273,2012,25.62941601,E,,0
AZE|Azerbaijan,31,Agricultural water withdrawal as % of total renewable water resources,4273,2017,32.18745494,E,,0
AZE|Azerbaijan,31,Agricultural water withdrawal as % of total renewable water resources,4273,2018,32.40663302,E,,0
BHR|Bahrain,48,Agricultural water withdrawal as % of total renewable water resources,4273,1992,122.4137931,I,,0
BHR|Bahrain,48,Agricultural water withdrawal as % of total renewable water resources,4273,1997,137.5,I,,0
BHR|Bahrain,48,Agricultural water withdrawal as % of total renewable water resources,4273,2002,140.3448276,I,,0
BHR|Bahrain,48,Agricultural water withdrawal as % of total renewable water resources,4273,2007,129.9059561,I,,0
BHR|Bahrain,48,Agricultural water withdrawal as % of total renewable water resources,4273,2012,120.7366771,I,,0
BHR|Bahrain,48,Agricultural water withdrawal as % of total renewable water resources,4273,2017,124.7413793,I,,0
BHR|Bahrain,48,Agricultural water withdrawal as % of total renewable water resources,4273,2018,124.7413793,I,,0
BGD|Bangladesh,50,Agricultural water withdrawal as % of total renewable water resources,4273,2012,2.567170212,I,,0
BGD|Bangladesh,50,Agricultural water withdrawal as % of total renewable water resources,4273,2017,2.567170212,I,,0
BGD|Bangladesh,50,Agricultural water withdrawal as % of total renewable water resources,4273,2018,2.567170212,I,,0
BRB|Barbados,52,Agricultural water withdrawal as % of total renewable water resources,4273,1992,68.5,I,,0
BRB|Barbados,52,Agricultural water withdrawal as % of total renewable water resources,4273,1997,68.5,I,,0
BRB|Barbados,52,Agricultural water withdrawal as % of total renewable water resources,4273,2002,68.5,I,,0
BRB|Barbados,52,Agricultural water withdrawal as % of total renewable water resources,4273,2007,68.5,I,,0
BRB|Barbados,52,Agricultural water withdrawal as % of total renewable water resources,4273,2012,68.5,I,,0
BRB|Barbados,52,Agricultural water withdrawal as % of total renewable water resources,4273,2017,68.5,I,,0
BRB|Barbados,52,Agricultural water withdrawal as % of total renewable water resources,4273,2018,68.5,I,,0
BLR|Belarus,112,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.893955095,I,,0
BLR|Belarus,112,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.740587219,I,,0
BLR|Belarus,112,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.749222798,I,,0
BLR|Belarus,112,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.834196891,I,,0
BLR|Belarus,112,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.744386874,E,,0
BLR|Belarus,112,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.718480138,E,,0
BEL|Belgium,56,Agricultural water withdrawal as % of total renewable water resources,4273,1982,1.719708561,I,,0
BEL|Belgium,56,Agricultural water withdrawal as % of total renewable water resources,4273,1987,1.084553734,I,,0
BEL|Belgium,56,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.449398907,I,,0
BEL|Belgium,56,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.087431694,E,,0
BEL|Belgium,56,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.208743169,E,,0
BEL|Belgium,56,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.201639344,E,,0
BEL|Belgium,56,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.196721312,E,,0
BEL|Belgium,56,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.245901639,I,,0
BEL|Belgium,56,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.245901639,I,,0
BLZ|Belize,84,Agricultural water withdrawal as % of total renewable water resources,4273,1987,0.082819545,E,,0
BLZ|Belize,84,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.090488022,I,,0
BLZ|Belize,84,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.219274606,E,,0
BLZ|Belize,84,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.314714273,E,,0
BLZ|Belize,84,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.314714273,E,,0
BLZ|Belize,84,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.314714273,E,,0
BLZ|Belize,84,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.314714273,E,,0
BLZ|Belize,84,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.314714273,E,,0
BEN|Benin,204,Agricultural water withdrawal as % of total renewable water resources,4273,1987,0.270253884,I,,0
BEN|Benin,204,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.339712012,I,,0
BEN|Benin,204,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.305851784,I,,0
BEN|Benin,204,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.223569534,I,,0
BEN|Benin,204,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.223569534,I,,0
BEN|Benin,204,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.223569534,I,,0
BEN|Benin,204,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.223569534,I,,0
BEN|Benin,204,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.223569534,I,,0
BTN|Bhutan,64,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.407692308,I,,0
BTN|Bhutan,64,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.407692308,I,,0
BTN|Bhutan,64,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.407692308,I,,0
BOL|Bolivia (Plurinational State of),68,Agricultural water withdrawal as % of total renewable water resources,4273,1987,0.183623693,E,,0
BOL|Bolivia (Plurinational State of),68,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.236106272,I,,0
BOL|Bolivia (Plurinational State of),68,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.28858885,I,,0
BOL|Bolivia (Plurinational State of),68,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.317886179,I,,0
BOL|Bolivia (Plurinational State of),68,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.331726674,I,,0
BOL|Bolivia (Plurinational State of),68,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.334494774,I,,0
BOL|Bolivia (Plurinational State of),68,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.334494774,I,,0
BOL|Bolivia (Plurinational State of),68,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.334494774,I,,0
BWA|Botswana,72,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.441176471,E,,0
BWA|Botswana,72,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.574183007,I,,0
BWA|Botswana,72,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.645127748,I,,0
BWA|Botswana,72,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.62396019,I,,0
BWA|Botswana,72,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.607026144,E,,0
BWA|Botswana,72,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.56372549,E,,0
BWA|Botswana,72,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.56372549,I,,0
BRA|Brazil,76,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.384607378,I,,0
BRA|Brazil,76,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.374603909,I,,0
BRA|Brazil,76,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.404764658,I,,0
BRA|Brazil,76,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.463571181,I,,0
BRA|Brazil,76,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.455996299,E,,0
BRA|Brazil,76,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.434254655,E,,0
BRN|Brunei Darussalam,96,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.062352941,I,,0
BRN|Brunei Darussalam,96,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.062352941,I,,0
BRN|Brunei Darussalam,96,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.062352941,I,,0
BRN|Brunei Darussalam,96,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.062352941,I,,0
BRN|Brunei Darussalam,96,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.062352941,I,,0
BRN|Brunei Darussalam,96,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.062352941,I,,0
BGR|Bulgaria,100,Agricultural water withdrawal as % of total renewable water resources,4273,1992,9.469483568,I,,0
BGR|Bulgaria,100,Agricultural water withdrawal as % of total renewable water resources,4273,1997,7.028169014,I,,0
BGR|Bulgaria,100,Agricultural water withdrawal as % of total renewable water resources,4273,2002,3.488262911,E,,0
BGR|Bulgaria,100,Agricultural water withdrawal as % of total renewable water resources,4273,2007,3.283382391,E,,0
BGR|Bulgaria,100,Agricultural water withdrawal as % of total renewable water resources,4273,2012,4.457276995,E,,0
BGR|Bulgaria,100,Agricultural water withdrawal as % of total renewable water resources,4273,2017,3.920187793,E,,0
BGR|Bulgaria,100,Agricultural water withdrawal as % of total renewable water resources,4273,2018,3.399061033,E,,0
BFA|Burkina Faso,854,Agricultural water withdrawal as % of total renewable water resources,4273,1987,1.858074074,I,,0
BFA|Burkina Faso,854,Agricultural water withdrawal as % of total renewable water resources,4273,1992,2.244444444,E,,0
BFA|Burkina Faso,854,Agricultural water withdrawal as % of total renewable water resources,4273,1997,2.728806584,I,,0
BFA|Burkina Faso,854,Agricultural water withdrawal as % of total renewable water resources,4273,2002,3.116296296,I,,0
BFA|Burkina Faso,854,Agricultural water withdrawal as % of total renewable water resources,4273,2007,3.116296296,I,,0
BFA|Burkina Faso,854,Agricultural water withdrawal as % of total renewable water resources,4273,2012,3.116296296,I,,0
BFA|Burkina Faso,854,Agricultural water withdrawal as % of total renewable water resources,4273,2017,3.116296296,I,,0
BFA|Burkina Faso,854,Agricultural water withdrawal as % of total renewable water resources,4273,2018,3.116296296,I,,0
BDI|Burundi,108,Agricultural water withdrawal as % of total renewable water resources,4273,1987,0.510529675,E,,0
BDI|Burundi,108,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.995287418,I,,0
BDI|Burundi,108,Agricultural water withdrawal as % of total renewable water resources,4273,1997,1.480045162,I,,0
BDI|Burundi,108,Agricultural water withdrawal as % of total renewable water resources,4273,2002,1.770899809,I,,0
BDI|Burundi,108,Agricultural water withdrawal as % of total renewable water resources,4273,2007,1.770899809,I,,0
BDI|Burundi,108,Agricultural water withdrawal as % of total renewable water resources,4273,2012,1.770899809,I,,0
BDI|Burundi,108,Agricultural water withdrawal as % of total renewable water resources,4273,2017,1.770899809,I,,0
BDI|Burundi,108,Agricultural water withdrawal as % of total renewable water resources,4273,2018,1.770899809,I,,0
CPV|Cabo Verde,132,Agricultural water withdrawal as % of total renewable water resources,4273,1992,7.2,I,,0
CPV|Cabo Verde,132,Agricultural water withdrawal as % of total renewable water resources,4273,1997,6.866666667,I,,0
CPV|Cabo Verde,132,Agricultural water withdrawal as % of total renewable water resources,4273,2002,7.5,I,,0
CPV|Cabo Verde,132,Agricultural water withdrawal as % of total renewable water resources,4273,2007,8.333333333,I,,0
CPV|Cabo Verde,132,Agricultural water withdrawal as % of total renewable water resources,4273,2012,8.333333333,I,,0
CPV|Cabo Verde,132,Agricultural water withdrawal as % of total renewable water resources,4273,2017,8.333333333,I,,0
CPV|Cabo Verde,132,Agricultural water withdrawal as % of total renewable water resources,4273,2018,8.333333333,I,,0
KHM|Cambodia,116,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.43121193,I,,0
KHM|Cambodia,116,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.43121193,I,,0
KHM|Cambodia,116,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.43121193,I,,0
KHM|Cambodia,116,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.43121193,I,,0
CMR|Cameroon,120,Agricultural water withdrawal as % of total renewable water resources,4273,1987,0.049443758,E,,0
CMR|Cameroon,120,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.049443758,E,,0
CMR|Cameroon,120,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.181220201,I,,0
CMR|Cameroon,120,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.260286068,I,,0
CMR|Cameroon,120,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.260286068,I,,0
CMR|Cameroon,120,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.260286068,I,,0
CMR|Cameroon,120,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.260286068,I,,0
CMR|Cameroon,120,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.260286068,I,,0
CAN|Canada,124,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.138304618,I,,0
CAN|Canada,124,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.135837354,I,,0
CAN|Canada,124,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.107925569,I,,0
CAN|Canada,124,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.080013784,E,,0
CAN|Canada,124,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.134562371,I,,0
CAN|Canada,124,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.090937285,I,,0
CAN|Canada,124,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.090937285,I,,0
CAF|Central African Republic,140,Agricultural water withdrawal as % of total renewable water resources,4273,1987,2.84E-04,E,,0
CAF|Central African Republic,140,Agricultural water withdrawal as % of total renewable water resources,4273,1992,2.84E-04,I,,0
CAF|Central African Republic,140,Agricultural water withdrawal as % of total renewable water resources,4273,1997,2.84E-04,I,,0
CAF|Central African Republic,140,Agricultural water withdrawal as % of total renewable water resources,4273,2002,2.84E-04,I,,0
CAF|Central African Republic,140,Agricultural water withdrawal as % of total renewable water resources,4273,2007,2.84E-04,I,,0
CAF|Central African Republic,140,Agricultural water withdrawal as % of total renewable water resources,4273,2012,2.84E-04,I,,0
CAF|Central African Republic,140,Agricultural water withdrawal as % of total renewable water resources,4273,2017,2.84E-04,I,,0
CAF|Central African Republic,140,Agricultural water withdrawal as % of total renewable water resources,4273,2018,2.84E-04,I,,0
TCD|Chad,148,Agricultural water withdrawal as % of total renewable water resources,4273,1987,0.323851204,E,,0
TCD|Chad,148,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.706199854,I,,0
TCD|Chad,148,Agricultural water withdrawal as % of total renewable water resources,4273,1997,1.088548505,I,,0
TCD|Chad,148,Agricultural water withdrawal as % of total renewable water resources,4273,2002,1.470897155,E,,0
TCD|Chad,148,Agricultural water withdrawal as % of total renewable water resources,4273,2007,1.470897155,I,,0
TCD|Chad,148,Agricultural water withdrawal as % of total renewable water resources,4273,2012,1.470897155,I,,0
TCD|Chad,148,Agricultural water withdrawal as % of total renewable water resources,4273,2017,1.470897155,I,,0
TCD|Chad,148,Agricultural water withdrawal as % of total renewable water resources,4273,2018,1.470897155,I,,0
CHL|Chile,152,Agricultural water withdrawal as % of total renewable water resources,4273,1992,1.84,,,4951
CHL|Chile,152,Agricultural water withdrawal as % of total renewable water resources,4273,1997,2.321151821,I,,0
CHL|Chile,152,Agricultural water withdrawal as % of total renewable water resources,4273,2002,2.802303642,I,,0
CHL|Chile,152,Agricultural water withdrawal as % of total renewable water resources,4273,2007,3.187225099,I,,0
CHL|Chile,152,Agricultural water withdrawal as % of total renewable water resources,4273,2012,3.187225099,I,,0
CHL|Chile,152,Agricultural water withdrawal as % of total renewable water resources,4273,2017,3.187225099,I,,0
CHL|Chile,152,Agricultural water withdrawal as % of total renewable water resources,4273,2018,3.187225099,I,,0
CHN|China,156,Agricultural water withdrawal as % of total renewable water resources,4273,1982,14.1960834,I,,0
CHN|China,156,Agricultural water withdrawal as % of total renewable water resources,4273,1987,14.6157692,I,,0
CHN|China,156,Agricultural water withdrawal as % of total renewable water resources,4273,1992,14.44019595,I,,0
CHN|China,156,Agricultural water withdrawal as % of total renewable water resources,4273,1997,13.76503027,I,,0
CHN|China,156,Agricultural water withdrawal as % of total renewable water resources,4273,2002,13.03560992,I,,0
CHN|China,156,Agricultural water withdrawal as % of total renewable water resources,4273,2007,12.67507447,E,,0
CHN|China,156,Agricultural water withdrawal as % of total renewable water resources,4273,2012,13.66091359,E,,0
CHN|China,156,Agricultural water withdrawal as % of total renewable water resources,4273,2017,13.56232968,I,,0
CHN|China,156,Agricultural water withdrawal as % of total renewable water resources,4273,2018,13.56232968,I,,0
COL|Colombia,170,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.157245763,E,,0
COL|Colombia,170,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.224057203,E,,0
COL|Colombia,170,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.263013771,E,,0
COL|Colombia,170,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.580317797,E,,0
COL|Colombia,170,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.889830509,E,,0
COL|Colombia,170,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.889830509,E,,0
COM|Comoros,174,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.391666667,I,,0
COM|Comoros,174,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.391666667,I,,0
COM|Comoros,174,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.391666667,I,,0
COM|Comoros,174,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.391666667,I,,0
COM|Comoros,174,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.391666667,I,,0
COG|Congo,178,Agricultural water withdrawal as % of total renewable water resources,4273,1987,5.29E-04,E,,0
COG|Congo,178,Agricultural water withdrawal as % of total renewable water resources,4273,1992,5.10E-04,I,,0
COG|Congo,178,Agricultural water withdrawal as % of total renewable water resources,4273,1997,4.92E-04,I,,0
COG|Congo,178,Agricultural water withdrawal as % of total renewable water resources,4273,2002,4.81E-04,E,,0
COG|Congo,178,Agricultural water withdrawal as % of total renewable water resources,4273,2007,4.81E-04,I,,0
COG|Congo,178,Agricultural water withdrawal as % of total renewable water resources,4273,2012,4.81E-04,I,,0
COG|Congo,178,Agricultural water withdrawal as % of total renewable water resources,4273,2017,4.81E-04,I,,0
COG|Congo,178,Agricultural water withdrawal as % of total renewable water resources,4273,2018,4.81E-04,I,,0
CRI|Costa Rica,188,Agricultural water withdrawal as % of total renewable water resources,4273,2012,1.480530974,E,,0
CRI|Costa Rica,188,Agricultural water withdrawal as % of total renewable water resources,4273,2017,2.037168142,I,,0
CRI|Costa Rica,188,Agricultural water withdrawal as % of total renewable water resources,4273,2018,2.037168142,I,,0
CIV|Côte d'Ivoire,384,Agricultural water withdrawal as % of total renewable water resources,4273,1987,0.564535298,E,,0
CIV|Côte d'Ivoire,384,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.913331029,E,,0
CIV|Côte d'Ivoire,384,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.831946755,I,,0
CIV|Côte d'Ivoire,384,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.710862848,I,,0
CIV|Côte d'Ivoire,384,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.707511291,I,,0
CIV|Côte d'Ivoire,384,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.711235243,I,,0
CIV|Côte d'Ivoire,384,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.713097219,I,,0
CIV|Côte d'Ivoire,384,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.713097219,I,,0
HRV|Croatia,191,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.005592417,E,,0
HRV|Croatia,191,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.003033175,E,,0
HRV|Croatia,191,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.033706161,I,,0
HRV|Croatia,191,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.072037915,I,,0
HRV|Croatia,191,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.072037915,E,,0
CUB|Cuba,192,Agricultural water withdrawal as % of total renewable water resources,4273,1997,7.057140132,I,,0
CUB|Cuba,192,Agricultural water withdrawal as % of total renewable water resources,4273,2002,7.21573023,I,,0
CUB|Cuba,192,Agricultural water withdrawal as % of total renewable water resources,4273,2007,6.495278069,E,,0
CUB|Cuba,192,Agricultural water withdrawal as % of total renewable water resources,4273,2012,11.02395943,I,,0
CUB|Cuba,192,Agricultural water withdrawal as % of total renewable water resources,4273,2017,11.85466946,I,,0
CUB|Cuba,192,Agricultural water withdrawal as % of total renewable water resources,4273,2018,11.85466946,I,,0
CYP|Cyprus,196,Agricultural water withdrawal as % of total renewable water resources,4273,1977,17.17948718,I,,0
