Type,Policy area,Sub-policy area,Policy action,Country,Topics
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"The Excise Tax Proclamation of 2020&nbsp;

In February 2020, the Ethiopian Parliament approved a new Excise Tax Proclamation No. 1186/2020, repealing Excise Tax Proclamation No. 307/2002 and its amendments, with effect from 14 February 2020. The Proclamation introduces excise tax on food products such as sugar-sweetened beverages and&nbsp;margarines, fats and oils with high levels of saturated fats or trans fats. Beverages with added sugar or other sweeteners&nbsp;will be subject to a 25% tax. Fruit and vegetable juices are excluded.&nbsp;Further, margarine with more than 40% saturated fat, or more than 0.5% trans fat per 100g, will be subject to a 50% tax. Hydrogenated fats and oils with more than 40% saturated fat or more than 0.5% trans fat per 100g will be taxed 40%, as will those whose saturated and trans fat content is not indicated. Finally, a 30% tax rate will be applied to non-hydrogenated fats and oils with more than 40% saturated fat per 100g or if their saturate fat content is not indicated. The Excise Tax Proclamation also increases taxes on alcohol and tobacco.
",Ethiopia,"Saturated fat, Sugary drinks tax, Tax, Trans fats"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Sugar–sweetened beverages tax –&nbsp;Fiji

In the mid-year budget of 23 June 2016, Fiji raised the excise duty on locally produced sweetened beverages from 10 Fijian cents per litre (around $0.05 per litre) to 30 cents per litre (around $0.15 per litre). In August 2017, the excise duty was further raised to 35 cents per litre (around $0.17 per litre). Imported sweetened beverages are subject to an ad valorem excise duty of 15% (raised from 10% in 2011), and imported powders and preparations to make beverages (other than milk-based drinks) as well as flavoured and coloured sugar syrups are taxed at 10% since 2007. Taxed beverages include carbonated and non-carbonated drinks sweetened with sugar or artificial sweeteners. The tax increase aims to protect children from obesity and lifelong poor health. Tax revenue goes to the general fund.
",Fiji,"Import duty, Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Excise tax on non–alcoholic beverages –&nbsp;Finland

Finland imposed excise taxes on non-alcoholic beverages and confectionery for most of the 20th century for revenue-raising purposes. The excise duty on confectionery was removed in 2000, re-introduced in 2011 and removed again in January 2017. In 2014, the tax rate was 0.95 Euro&nbsp;per kg by weight for confectionery and ice cream, 0.22&nbsp;Euro&nbsp;per litre for beverages with more than 0.5% sugar and 0.11 Euro per litre for other non-alcoholic beverages. The tax on candy and ice cream was removed on 1 January 2017. Currently an excise tax is levied on non-alcoholic beverages. Producers with an annual production volume of less than 50,000 litres are exempted from the tax.
",Finland,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Excise duty on sugar–sweetened beverages –&nbsp;France

Since 1 January 2012, France has applied an excise duty to drinks with added sugar and artificial sweeteners, including sodas, fruit drinks, flavoured waters and “light” drinks (Law no 2011-1977). Since 1 July 2018, France has applied an excise tax proportional to the sugar content of sugar sweetened drinks. Official Customs Bulletin No 7212 outlines a table with the tax rates per kilogram of added sugar per hectoliter up to 15kg. For example, a drink with 5g of added sugar per litre is taxed at 0.055 Euro per lire and a drink with 10g of added sugar per litre is taxed at 0.135 Euro per lire. An excise tax is also applied to non-calorically sweetened drinks at a rate of 3 Euro per hectoliter.

The tax rate on sugar-sweetened beverages as of January 1st, 2021 is €3.63 for 2kg of added sugar per hl of drink.&nbsp;Taxes are applied to non-alcohol drinks containing added sugars, whatever the quantity (fruit or vegetable juice, sodas, flavored water for example). When the product contains both added sugars and sweeteners, the sale is subject to 2 taxes.&nbsp;

Evaluations

Etilé F et al.&nbsp;(2018)&nbsp;The Incidence of Soft-Drink Taxes on Consumer Prices and Welfare: Evidence from the French ”Soda Tax”. PSE Working Papers n°2018–24.

Berardi N et al. (2012) The impact of a ‘soda tax’ on prices: Evidence from French micro data. Working Paper No. 415, Banque de France.
",France,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Food and beverage taxes –&nbsp;French Polynesia

Various food and beverage taxes have been in place in French Polynesia&nbsp;since 2002 to discourage consumption and raise revenue:&nbsp;domestic excise duty on sweetened drinks and beer; import tax on sweetened drinks, beer and confectionery; tax on ice cream. Between 2002 and 2006, tax revenue went to a preventive health fund; from 2006, 80% has been allocated to the general budget and earmarked for health. The tax is 40 CFP franc&nbsp;(around $0.44) per litre on domestically produced sweet drinks, and 60 CFP franc (around $0.68) per litre on imported sweet drinks.

Evaluations

Thow AM et al. (2010) Taxing soft drinks in the Pacific: implementation lessons for improving health. Health Promotion International, 26(1), 55-64.
",French Polynesia,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Act CIII on the Public Health Product Tax

In July 2011, Hungary passed Act CIII on the Public Health Product Tax. Effective since September 2011, the ""public health tax"" is applied on the salt, sugar and caffeine content of various categories of ready-to-eat food, including soft drinks (both sugar- and artificially-sweetened), energy drinks and pre-packaged sugar-sweetened products. The tax is applied at varying rates. Soft drinks, for example, are taxed 7 forints (around $0.024) per litre, concentrated syrups used to sweeten drinks are taxed 200 forints (around $0.70) per litre and pre-packaged sugar-sweetened products are taxed 130 forints (around $0.45) per kg. The tax also applies to products high in salt, including salty snacks with more than 1g salt per 100g, condiments with more than 5g salt per 100g and flavourings with more than 15g salt per 100g.

Evaluations

Bíró A (2015) Did the junk food tax make the Hungarians eat healthier? Food Policy, 54, 107-115

World Health Organization&nbsp;(2015)&nbsp;Assessment of the impact of a public health product tax, Final report.&nbsp;National Institute for Food and Nutrition Science Directorate General, Budapest.
",Hungary,"Energy drinks, Salt, Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"The Constitution (One Hundred and First Amendment) Act

On 1 July 2017, the Constitution (One Hundred and First Amendment) Act 2017 came into force across India which introduced a goods and services tax of 28% on all goods [including aerated waters], containing added sugar or other sweetening matter or flavour with a further 12% cess added on top of the tax. This Act replaces all other GST laws at State level and is applied across India. It is the highest GST rate for goods in India.
",India,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"The Sugar Sweetened Drinks Tax

On 1 May 2018, the Republic of Ireland’s Sugar Sweetened Drinks Tax came into force under the Finance Act 2017 (No. 41 of 2017). The tax applies to non-alcoholic, water-based and juice-based drinks which have added sugar content of 5g per 100mL and above. Drinks with over 8g of sugar per 100mL&nbsp;are taxed at 30 cents per litre ($0.35), and drinks with between 5g and 8g of sugar per 100mL are taxed at 20 cents per litre ($0.23). Fruit juices and dairy products are excluded from the tax.
",Ireland,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Excise duty on sugar–sweetened beverages&nbsp;–&nbsp;Kiribati

In 2014, Kiribati imposed an excise duty of 40% on non-alcoholic beverages (including mineral and aerated waters) that contain added sugar, other sweeteners or flavourings; fruit and vegetable juices as well as fruit concentrates are exempt from the tax.&nbsp;
",Kiribati,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"The Law on Excise Duties

In effect since 1 May 2004, Latvia applies an excise tax on non-alcoholic beverages under the Law on Excise Duties (adopted 30 October 2003). Non-alcoholic beverages are defined as water and mineral water with added sugar, other sweetener or flavouring, and other non-alcoholic beverages, except fruit and vegetable juice and nectar, beverages which contain more than 90% juice (except fruit juices made of concentrate), less than 10% of added sugar and which do not contain food additives and flavourings, natural water and mineral water, water enriched with minerals and vitamins, and without added sugar, other sweetener or flavouring. Since 2016, the tax rate is 7.40 Euro per 100L (up from 2.85 Euro per 100L in 2004).
",Latvia,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Excise duty on sugar–sweetened beverages – Malaysia

On 1 July 2019, the Malaysian government’s excise duty on sugar-sweetened beverages came into effect after being announced in the 2019 budget earlier the previous year in November. An excise duty of RM0.40/litre (about US$0.095) was applied to all manufactured beverages, including carbonated drinks containing added sugar/other sweeteners and other non-alcoholic beverages, containing sugar exceeding 5g/100ml; and all fruit and vegetable juices regardless of whether the juices contain added sugar/other sweeteners which contain sugar exceeding 12g/100ml. Notwithstanding manufactured beverages that are sold on premises, drinks served at restaurants, cafes and kiosks were exempt from the duty. Revenues obtained from the excise duty were earmarked towards providing free and healthy breakfasts for primary school children.
",Malaysia,"Children, Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Sugar–sweetened beverages tax –&nbsp;Mauritius

As of October 2016, Mauritius applies an excise tax to all sugar-sweetened beverages, whether imported or locally manufactured. Sugar-sweetened beverages include juices, milk-based beverages and soft drinks. Previously, the tax was only applied to the sugar content of soft drinks (since 1 January 2013). In 2016, sugar-sweetened beverages were taxed at 0.03 rupees (around $0.0008) per gram of sugar.
",Mauritius,"Sugar, Sugary drinks, Sugary drinks tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Taxes on sugar–sweetened beverages and energy drinks –&nbsp;Mexico

In December 2013, the Mexican legislature passed two new taxes as part of the National Strategy for the Prevention and Control of Overweight, Obesity and Diabetes (Estrategia Nacional Para Un Mexico Sin Obesidad). They entered into force on 1 January 2014. An excise duty of 1 peso (around $0.05) per litre applies to sugary drinks. Sugary drinks are defined under the law as all drinks with added sugar, excluding milks or yoghurts. Preliminary price monitoring indicates that the price of sugary drinks has increased by around 10%. The revenue from the sugary drink tax should be allocated to fund programmes addressing malnutrition, obesity and obesity-related chronic diseases, as well as access to drinking water (6th transitory article, Federal Law on Income for the Fiscal Year 2017); however, the revenue is currently being allocated to the general budget. An ad valorem excise duty of 8% applies to food with high caloric density, defined as equal to or more than 275 calories per 100g. The food product categories that are affected by the tax include chips and snacks, confectionery, chocolate and cacao based products, puddings, peanut and hazelnut butters.&nbsp;

In effect since 1 January 2011, a 25% tax is applied to energy drinks. Energy drinks were added to the Special Tax on Production and Services Law&nbsp;(Ley del Impuesto Especial sobre Producción y Servicios) by Decree on 19 November 2010. The Law defines energy drinks as non-alcoholic beverages with more than 20mg per 100mL of caffeine and mixed with stimulants (eg&nbsp;taurine). The Law also applies to concentrates, powders and syrups used to prepare energy drinks.

Evaluations

Sánchez-Romero LM et al.&nbsp;(2020)&nbsp;Association between tax on sugar sweetened beverages and soft drink consumption in adults in Mexico: open cohort longitudinal analysis of Health Workers Cohort Study. BMJ, 369, m1311.

Ng S et al. (2019)&nbsp;Did high sugar-sweetened beverage purchasers respond differently to the excise tax on sugar-sweetened beverages in Mexico? Public Health Nutrition,&nbsp;&nbsp;22(4), 750–756.

Álvarez-Sánchez C et al. (2018)&nbsp;Does the Mexican sugar-sweetened beverage tax have a signaling effect? ENSANUT 2016. PLoS ONE, 13(8), e0199337.

Hernández-F M et al. (2018) Reduction in purchases of energy-dense nutrient-poor foods in Mexico associated with the introduction of a tax in 2014. Preventive Medicine,&nbsp;118,&nbsp;16-22.

Colchero MA et al. (2017)&nbsp;In Mexico, Evidence Of Sustained Consumer Response Two Years After Implementing A Sugar-Sweetened Beverage Tax.&nbsp;Health Affairs,&nbsp;36(3), 564-571.

Colchero, MA et al.&nbsp;&nbsp;(2017). After Mexico Implemented a Tax, Purchases of Sugar-Sweetened Beverages Decreased and Water Increased: Difference by Place of Residence, Household Composition, and Income Level. The Journal of Nutrition, 147(8), 1552–1557.

Taillie LS et al. (2017)&nbsp;Do high vs. low purchasers respond differently to a nonessential energy-dense food tax? Two-year evaluation of Mexico's 8% nonessential food tax.&nbsp;Preventive medicine,&nbsp;105, S37-S42

Batis C et al. (2016)&nbsp;First-Year Evaluation of Mexico’s Tax on Nonessential Energy-Dense Foods: An Observational Study.&nbsp;PLoS Medicine,&nbsp;13(7),&nbsp;e1002057.

Colchero MA et al. (2016)&nbsp;Beverage purchases from stores in Mexico under the excise tax on sugar sweetened beverages: observational study.&nbsp;British Medical Journal,&nbsp;352, h6704.

Colchero MA et al.&nbsp;(2015)&nbsp;Changes in Prices After an Excise Tax to Sweetened Sugar Beverages Was Implemented in Mexico: Evidence from Urban Areas. PLoS ONE, 10(12), e0144408.
",Mexico,"Energy drinks, Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Tax on sugar–sweetened beverages – Morocco

As part of the 2020 Budget Bill, Morocco re-introduced a&nbsp;tax on sugar-sweetened beverages which had been cancelled in 2019. The new&nbsp;internal consumption tax (ICT) for sugar-sweetened beverages is based on the amount of fruit juice. Specifically, carbonated drinks containing 10% fruit juice, as well as lemonade containing more than 6% lemon juice would incur a value-added tax (VAT)&nbsp;of MAD10-15 (US$ 1-1.55) per 100L. Beverages below the juice threshold incur higher tax rates based on their sugar content: for 5g of sugar or less per 100ml, the VAT is&nbsp;MAD30 (US$3) per 100L; between 5 to 10g of sugar per 100ml, the VAT is&nbsp;MAD37.5 (US$3.88) per 100L; and beverages containing&nbsp;more than 10g of sugar per 100ml incur&nbsp;a tax of MAD 45(US$4.66) per 100L.
",Morocco,"Sugary drinks, Sugary drinks tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Generalised tax on sugar

Norway&nbsp;has a generalised tax on sugar since 1981, which is payable on sugar that’s either imported into Norway or produced in Norway. As above, the tax is primarily a source of revenue, however the Norwegian government have acknowledged it can also have a health effect. In 2020, the tax rate was set at NOK8.20 per kg of the product’s taxable weight. Among other things, the tax is payable on the following types of sugar: granulated sugar, icing sugar, rock candy, refined and pearl sugar. The tax does not apply when sugar is used as an ingredient in another product, such as in baked goods, mineral water, chocolate and soft drink factories. See also ""Excise duty on chocolate and sugar products &amp; non-alcoholic beverages"" above. &nbsp;
",Norway,"Sugar, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Excise duty on chocolate and sugar products &amp; non-alcoholic beverages

Norway introduced taxes on chocolate and confectionery products and non-alcoholic beverages as luxury items in 1922 and 1924, respectively. Today, the taxes are maintained on fiscal grounds, although the Norwegian government have acknowledged their positive health impact. &nbsp;Both direct and indirect taxes are adopted annually by the Parliament.&nbsp;In 2017, beverages are taxed at 3.34 Norwegian Kroner (NOK) per litre (around $0.40), concentrated&nbsp;syrups at 20.32 NOK per litre (around $2.44), chocolate and sugar products at 20.19 NOK per kg (around $2.43), and sugar at 7.81 NOK per kg (around $0.94).&nbsp;In January 2018, the levy on chocolate and sugar products was raised by 83% compared to 2017 levels, at NOK36.92&nbsp;per kilo. Further, the tax on non-alcoholic beverages was raised by 42%, at a rate of NOK4.75&nbsp;per litre. In January 2019 the tax rate on chocolate and sugar products was reduced to (price adjusted) 2017-level. In 2020, the tax rate for chocolate and sugar products was set at NOK 21.22 per kg. As of 1 July 2020, the tax on non-alcoholic beverages was also&nbsp;reduced to (price adjusted) 2017-level,&nbsp;at a rate of&nbsp;NOK 3.51 per litre.

In 2021, the excise duty on chocolate and sugar products has been abolished, with effect on 1 January 2021.

Expired policy
",Norway,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Sugar–sweetenened beverages tax –&nbsp;Peru

On 10 May 2018, the Peruvian Government implemented Supreme Decree No. 091-2018-EF which imposes a 25% tax on beverages with a sugar content of 6g or more per 100mL. This is an 8% increase from the 17% tax which was already in place. Taxed beverages include non-alcoholic beverages, sweetened waters and 0% alcohol beer. Beverages with less than 6g of sugar per 100mL are not taxed.
",Peru,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"The Tax Reform for Acceleration and Inclusion (TRAIN) Programme

On 1 January 2018, the Philippines government implemented a sweetened beverage excise tax of six pesos per litre (around $0.12) on products using purely caloric and purely non-caloric sweeteners or a mix of both as part of the Tax Reform for Acceleration and Inclusion (TRAIN) tax reform programme under Republic Act 10963. It also implemented a 12 pesos per litre (around $0.24) excise tax on drinks using purely high-fructose corn syrup or in combination with any caloric or non-caloric sweetener. The products taxed include non-alcoholic beverages that contain caloric sweetener (defined as a substance that is sweet and includes sucrose, fructose or glucose) or non-caloric sweetener&nbsp;(defined as a substance that is artificially or chemically processed that produces a certain sweetness, and includes aspartame, sucralose, saccharin, acesulfame potassium, neotame, cyclamates and other non-nutritive sweeteners). Taxed sweetened beverages include the following: sweetened juice drinks; sweetened tea; all carbonated beverages; flavoured water; energy and sports drinks; other powdered drinks not classified as milk, juice, tea&nbsp;or coffee; cereal and grain beverages; and other non-alcoholic beverages that contain added sugar. 100% natural fruit and vegetable juices, milk products, and meal replacement and medically indicated beverages are exempt from the tax.
",Philippines,"Energy drinks, Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Sugar tax levy&nbsp;

On August 31, 2020, the Act of February 14, 2020 amending certain acts in connection with the promotion of pro-health consumer choices was published (Journal of Laws of 2020, item 1492), which entered into force on January 1, 2021.

The tax will be set at PLN 0.5 (EUR 0.11) in the case of a sugar content equal to or less than 5g in 100mL of the drink, with an additional fee of PLN 0.05 (EUR 0.01) per each gram of sugar above 5g/100mL.

Pursuant to the provisions of the Act, an additional fee applies to the introduction of beverages with the addition of:

• sugars that are monosaccharides or disaccharides and foodstuffs containing these substances and sweeteners referred to in the Regulation of the European Parliament and of the Council (EC)

• caffeine or taurine.

The purpose of the introduced regulations was to use the fiscal policy as a tool to promote healthy consumer choices - to improve eating habits by limiting the consumption of sweet drinks. It is expected that the fee, as a tool used in counteracting civilization diseases, will change the consumption structure in the beverage category, which will result in savings for the health care system in the longer term (improvement in health indicators, reduction of overweight and obesity rates and diet-related diseases). The vast majority (96.5%) of the funds obtained from the so-called The sugar levy will go to the National Health Fund (NFZ), while the remaining part (3.5%) will be transferred to the state budget.

The expected revenues to the NHF budget in the first year of the fee being in force are about PLN 3 billion, which will be allocated to the implementation of educational and preventive activities as well as health care services related to maintaining and improving the health of beneficiaries with diseases developed due to improper health choices and behaviors , especially those who are overweight and obese.
",Poland,Sugary drinks tax
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"The Special Consumption Tax

The State Budget for 2017 (1 January 2017) introduced a new tax on sugar-sweetened drinks, which came into effect on 1 February 2017.&nbsp;Under the Special Consumption Tax&nbsp;(Decreto-Lei No&nbsp;73/2010, de&nbsp;21/06), non-alcoholic&nbsp;beverages&nbsp;with a sugar content of less than 80g&nbsp;per litre will be charged at&nbsp;€0.08 per litre or&nbsp;€8.22 per hectoliter&nbsp;(around $0.10); or €0.16 per litre or €16.46 per hectoliter&nbsp;(around $0.20) when the sugar content exceeds 80g per litre. The tax&nbsp;covers&nbsp;mineral, flavoured and aerated waters that&nbsp;contain added sugar or other sweeteners.&nbsp;Non-alcoholic beverages such as beverages based on milk, soy or rice; fruit, seaweed or vegetable juices and nectars; cereal, almond, cashew and hazelnut drinks; or drinks considered food for special dietary needs or dietary supplements are exempt from this tax.

This tax was revised in 2018, with the Law n.o 71/2018, implementing four levels:

• €1/hl – beverages with sugar content less than 25 g per litre;

• €6/hl – beverages with sugar content less than 25 and 49 g per litre;

• €8/hl – beverages with sugar content between 50 and 79 49 g per litre;

• €20/hl – beverages with sugar content equal or more than 80 g per litre.

Evaluations

Goiana-Da-Silva&nbsp;F et al. (2018)&nbsp;The future of the sweetened beverages tax in Portugal. The Lancet Public Health, 3(12), e562–e562.
",Portugal,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Soft drinks tax –&nbsp;Samoa

Soft drinks, both imported and locally produced, have been taxed in Samoa since 1984. From 1984 until 2008, the excise tax amounted to 0.3 Samoan Tala per litre (around $0.12); in 2008 the rate changed to 0.4 Samoan Tala per litre (around $0.17).

In 2007, Samoa imposed a ban on high fat turkey tails. In 2012 the ban was lifted when Samoa joined the World Trade Organization and a 300% import duty was set for two years followed by a 100% import duty.

Evaluation

Thow AM et al. (2010) Taxing soft drinks in the Pacific: implementation lessons for improving health. Health Promotion International,&nbsp;26(1), 55-64.
",Samoa,"Fat, Import duty, Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"The Saudi Arabia Excise Tax Law

The Kingdom of Saudi Arabia’s Government approved the Excise Tax Law which went into effect on 9 June 2017, and all businesses that import or produce stock of excisable goods are expected to register with the General Authority of Zakat and Tax (GAZT). The excise tax rates imposed by the law are a 100% tax rate on energy drinks and a 50% tax rate on carbonated drinks (including soft drinks, carbonated water, and juice). The rates may differ depending on the nature of the product. For example, carbonated drinks may have different tax rates if they are dispensed as fountain drinks or as cans. GAZT has published a user manual for those required to register for excise tax.
",Saudi Arabia,"Energy drinks, Sugar, Sugary drinks, Sugary drinks tax, Tax"
