Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","35","Cabo Verde","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2004","%","49.47","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","35","Cabo Verde","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1988","%","36.2","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","35","Cabo Verde","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2004","%","50.53","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","33","Canada","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2006/2011","%","72.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","33","Canada","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2006/2011","%","27.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","44","Colombia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2014","%","96","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","44","Colombia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2014","%","4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","45","Comoros","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2004","%","67.42","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","45","Comoros","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2004","%","32.58","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","46","Congo","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2014-2015","%","71.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","46","Congo","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2014-2015","%","28.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","47","Cook Islands","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2011","%","92.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","47","Cook Islands","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2011","%","7.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","48","Costa Rica","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2014","%","84.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","48","Costa Rica","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2014","%","15.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","107","C?te d'Ivoire","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2002","%","89.86","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","107","C?te d'Ivoire","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2015-2016","%","78.2","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","107","C?te d'Ivoire","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2002","%","10.14","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","107","C?te d'Ivoire","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2015-2016","%","21.8","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","98","Croatia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","78","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","98","Croatia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","22","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1994-1995","%","91.93","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2003-2004","%","74.46","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","79.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1994-1995","%","8.07","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2003-2004","%","25.54","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","50","Cyprus","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","20.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","167","Czechia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","85","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","167","Czechia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","15.1","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","250","Democratic Republic of the Congo","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1988-1989","%","91.11","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","250","Democratic Republic of the Congo","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1988-1989","%","8.89","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","54","Denmark","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2000","%","91.35","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","54","Denmark","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","91","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","54","Denmark","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2000","%","8.65","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","54","Denmark","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","9","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","72","Djibouti","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1995","%","94.98","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","72","Djibouti","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1995","%","5.02","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","55","Dominica","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1995","%","80.82","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","55","Dominica","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1995","%","19.18","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","58","Ecuador","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","1999-2000","%","74.64","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","58","Ecuador","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","1999-2000","%","25.36","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1990","%","91.77","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","1999-2000","%","94.78","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2009-2010","%","96.1","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1990","%","8.23","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","1999-2000","%","5.22","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","59","Egypt","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2009-2010","%","3.9","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","63","Estonia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","64.2","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","63","Estonia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","35.8","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","209","Eswatini","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1992-1993","%","82.8","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","209","Eswatini","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2012-2013","%","58","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","209","Eswatini","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1992-1993","%","17.2","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","209","Eswatini","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2012-2013","%","42","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","238","Ethiopia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2001-2002","%","81.32","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","238","Ethiopia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2001-2002","%","18.68","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","66","Fiji","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1991","%","94.79","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","66","Fiji","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2009","%","96.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","66","Fiji","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1991","%","5.21","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","66","Fiji","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2009","%","3.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","67","Finland","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2000","%","89.16","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","67","Finland","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","88.9","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","67","Finland","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2000","%","10.84","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","67","Finland","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","11.1","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1988","%","85.27","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2000-2001","%","76.53","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","77.3","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1988","%","14.73","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2000-2001","%","23.47","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","68","France","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","22.7","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","69","French Guyana","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1988-1989","%","59.85","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","69","French Guyana","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1988-1989","%","40.15","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","75","Gambia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2002","%","91.71","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","75","Gambia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2011-2012","%","91","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","75","Gambia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2002","%","8.29","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","75","Gambia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2011-2012","%","9","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","73","Georgia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2004-2005","%","70.94","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","73","Georgia","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2014","%","69","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","73","Georgia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2004-2005","%","29.06","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","73","Georgia","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2014","%","31","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","79","Germany","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","1999","%","91.15","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","79","Germany","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","91.6","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","79","Germany","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","1999","%","8.85","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","79","Germany","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","8.4","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","84","Greece","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","1999-2000","%","74.88","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","84","Greece","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2009-2010","%","72.3","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","84","Greece","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","1999-2000","%","25.12","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","84","Greece","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2009-2010","%","27.7","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","86","Grenada","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1995","%","66.21","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","86","Grenada","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2012","%","71.3","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","86","Grenada","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1995","%","33.79","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","86","Grenada","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2012","%","28.8","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","87","Guadeloupe","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1989","%","81.65","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","87","Guadeloupe","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1989","%","18.35","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","88","Guam","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2007/2012","%","87.5","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","88","Guam","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2007/2012","%","12.5","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","89","Guatemala","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2003","%","92.23","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","89","Guatemala","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2003","%","7.77","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","90","Guinea","6202","Percent of total persons","270052","Holdings operated by civil persons, male","1990","1989/1995","%","98","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","90","Guinea","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2001","%","94.34","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","90","Guinea","6202","Percent of total persons","270051","Holdings operated by civil persons, female","1990","1989/1995","%","2","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","90","Guinea","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2000","2001","%","5.66","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","93","Haiti","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2008-2009","%","74.6","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","93","Haiti","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2008-2009","%","25.4","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","97","Hungary","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2000","2000","%","76.09","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","97","Hungary","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","73.7","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
