Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","67.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","63.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","58.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","55.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","52.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","49.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","46.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","42.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","33.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","23.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","16.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","15.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","14.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","13.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","14.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","15.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","15.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","15.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","17.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","20.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","3","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","3.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","4.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","4","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","3.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","3.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","3.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","3.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","3.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","3.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","2.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","2.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","2.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","2.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","3.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","3.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","3.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","3.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","26.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","24.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","21.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","16","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","12.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","9.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","6.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","5.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","4.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","3.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","3.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","3.2","E","Estimated value",""
