ISO,country,datasource_year,year,source1,source2,zeroFV_iycf,zeroFV_iycf_m,zeroFV_iycf_f,zeroFV_icyf_u,zeroFV_icyf_r
GMB,Gambia,2013,2013,DHS,"The Gambia Demographic and Health Survey 2013. Banjul, The Gambia, and Rockville, Maryland, USA: GBOS and ICF International, 2014.",75.62204,74.62672000000001,76.67648,71.54497000000001,78.99138000000001
GMB,Gambia,2018,2018,MICS,"The Gambia Multiple Indicator Cluster Survey 2018, Survey Findings Report. Banjul, The Gambia: The Gambia Bureau of Statistics",62.96957,62.16492,63.76122,64.57871,60.47143
GMB,Gambia,2019-20,2020,DHS,"The Gambia Demographic and Health Survey 2019- 20. Banjul, The Gambia and Rockville, Maryland, USA: GBoS and ICF",56.5838,56.80743,56.34052,53.16745,63.0944
GNB,Guinea-Bissau,2014,2014,MICS,"Inquérito aos Indicadores Múltiplos (MICS5) 2014, Relatório Final. Bissau, Guiné-Bissau: Ministério da Economia e Finanças e Direcção Geral do Plano/ Instituto Nacional de Estatística (INE)",43.62265,44.50492,42.66568,62.43395,32.02972
GNB,Guinea-Bissau,2018-19,2019,MICS,"Inquérito aos Indicadores Múltiplos (MICS5) 2018-2019, Relatório Final. Bissau, Guiné-Bissau: Ministério da Economia e Finanças e Direcção Geral do Plano/ Instituto Nacional de Estatística (INE).",68.96288,69.16212,68.76156,66.9203,69.67628000000001
GTM,Guatemala,2014-15,2015,DHS,"Encuesta Nacional de Salud Materno Infantil 2014-2015. Ciudad de Guatemala, Guatemala, 2015.",26.75561,26.62374,26.89623,22.8733,28.85766
GUY,Guyana,2009,2009,DHS,"Guyana demographic and health survey 2009. Demographic and Health Surveys. Georgetown, Guyana: MOH, BOS, and ICF Macro, 2010",30.08753,31.41951,28.79856,18.53142,33.06437
GUY,Guyana,2014,2014,MICS,"Guyana Multiple Indicator Cluster Survey 2014, Final Report. Georgetown, Guyana: Bureau of Statistics, Ministry of Public Health and UNICEF",16.70161,16.08138,17.29598,14.99962,17.26516
HND,Honduras,2005-06,2006,DHS,"Encuesta nacional de salud y demografía 2005-2006. Demographic and Health Surveys. Tegucigalpa, Honduras: SS, INE y Macro International, 2006",43.7416,43.28083,44.20376,34.52953,50.43838
HND,Honduras,2011-12,2012,DHS,"Encuesta nacional de salud y demografía 2011-2012. Demographic and Health Surveys. Tegucigalpa, Honduras: SS, INE e ICF International, 2013",36.0599,35.90952,36.23039,30.66567,40.64932
HTI,Haiti,2005-06,2006,DHS,"Enquête mortalité, morbidité et utilisation des services, Haïti, 2005-2006. DHS. Calverton, Maryland, USA: Ministère de la Santé Publique et de la Population, Institut Haïtien de l'Enfance et Macro International Inc., 2007",47.47361,46.81164,48.12793,51.4679,45.40372
HTI,Haiti,2012,2012,DHS,"Enquête mortalité, morbidité et utilisation des services, Haïti, 2012. Demographic and Health Surveys. Calverton, Maryland, USA : MSPP, IHE et ICF International, 2012",39.09739,39.96374,38.20358,39.40731,38.94463
HTI,Haiti,2016-17,2017,DHS,"Enquête Mortalité, Morbidité et Utilisation des Services (EMMUS-VI 2016-2017) Pétion-Ville, Haïti, et Rockville, Maryland, USA : IHE et ICF",54.65935,55.49972,53.82021,51.71314,56.14109
IDN,Indonesia,2012,2012,DHS,"Indonesia Demographic and Health Survey 2012. Jakarta, Indonesia: BPS, BKKBN, Kemenkes, and ICF International, 2013.",21.17703,21.79632,20.51844,17.90765,24.34566
IDN,Indonesia,2017,2017,DHS,"Indonesia Demographic and Health Survey 2017. Jakarta, Indonesia: BKKBN, BPS, Kemenkes, and ICF.",17.84829,19.49582,16.06967,14.56327,21.02058
IND,India,2005-06,2006,DHS,"National family health survey (NFHS-3), 2005-06: India: Demographic and Health Surveys. Mumbai, India: IIPS, 2007",58.75946,58.3423,59.22917,55.82869,59.76794
IND,India,2015-16,2015,DHS,"National Family Health Survey (NFHS-4), 2015-16: India. Mumbai: IIPS. 2017",54.71117,55.27586,54.08469,50.62343,56.31461
IND,India,2016-18,2017,NNS,Comprehensive National Nutrition Survey (CNNS) National Report. New Delhi,54.78,56.24,53.25,50.81,56.1
IRQ,Iraq,2018,2018,MICS,"Iraq Multiple Indicator Cluster Survey 2018, Survey Findings Report. Baghdad, Iraq: CSO & KRSO",25.31737,25.61718,24.99671,24.22519,27.78394
JOR,Jordan,2007,2007,DHS,"Jordan Population and Family Health Survey 2007. Calverton, Maryland, USA: Department of Statistics/Jordan and Macro International.",21.34008,20.89072,21.77534,20.77103,24.06238
JOR,Jordan,2012,2012,DHS,"Jordan population and family health survey 2012. Demographic and Health Surveys. Calverton, Maryland, USA: Department of Statistics and ICF International, 2013",29.52347,29.81107,29.17367,28.30823,34.43075
JOR,Jordan,2017-18,2017,DHS,"Jordan Population and Family and Health Survey  2017-18. Amman, Jordan, and Rockville, Maryland, USA: DOS and ICF",41.08646,40.39721,41.89633,41.29195,39.55868
KAZ,Kazakhstan,2015,2015,MICS,"2015 Kazakhstan Multiple Indicator Cluster Survey, Final Report. Astana, Kazakhstan: The Statistics Committee of the Ministry of National Economy of the Republic of Kazakhstan, 2016.",21.21459,21.28949,21.1327,19.80079,22.50795
KEN,Kenya,2014,2014,DHS,"Kenya demographic and health Survey (2014 KDHS): Final Report. Demongraphic and Health Surveys. Nairobi, Kenya: KNBS, Ministry of Health, NACC, KEMRI, NCPD, 2015",28.68903,28.92283,28.44464,14.78138,36.55204
KGZ,Kyrgyzstan,2012,2012,DHS,"Kyrgyz Republic demographic and health survey 2012. Demographic and Health Surveys. Bishkek, Kyrgyz Republic, and Calverton, Maryland, USA: NSC, MOH, and ICF International, 2013",47.24197,47.55183,46.88803,45.84484,47.76976
KGZ,Kyrgyzstan,2014,2014,MICS,"Kyrgyzstan multiple indicator cluster survey 2014: Final Report (MICS). Bishkek, Kyrgyzstan: National Statistical Committee of the Kyrgyz Republic and UNICEF, 2014.",37.37991,36.75171,38.08067,34.07048,38.83094
KGZ,Kyrgyzstan,2018,2018,MICS,"Kyrgyzstan Multiple Indicator Cluster Survey 2018, Survey Findings Report. Bishkek, Kyrgyzstan: National Statistical Committee of the Kyrgyz Republic and UNICEF.",13.78765,12.45409,15.25775,12.00332,14.62962
KHM,Cambodia,2005-06,2005,DHS,"Cambodia demographic and health survey 2005. Demographic and Health Surveys. Phnom Penh, Cambodia and Calverton, Maryland, USA: National Institute of Public Health, National Institute of Statistics and ORC Macro, 2006",38.40999,38.76729,38.03984,30.671,39.69499
KHM,Cambodia,2010-11,2010,DHS,"Cambodia demographic and health survey 2010. Demographic and Health Surveys. Phnom Penh, Cambodia and Calverton, Maryland, USA: National Institute of Statistics, Directorate General for Health, and ICF Macro, 2011",36.56464,37.50041,35.54953,50.33165,33.89983
KHM,Cambodia,2014,2014,DHS,"Cambodia Demographic and Health Survey 2014. Phnom Penh, Cambodia, and Rockville, Maryland, USA: National Institute of Statistics, Directorate General for Health, and ICF International.",35.34533,34.1964,36.52606,24.34593,37.13885
KIR,Kiribati,2009,2009,DHS-Style,"Kiribati demographic and health survey. Noumea, Kiribati: SPC, 2009.",34.09969,33.17665,35.13195,25.81186,40.34013
KIR,Kiribati,2018-19,2018,MICS,Kiribati 2018-2019 Social Development Indicator Survey,51.44994,49.17616,54.03506,49.24812,54.11115
LAO,Lao People's Democratic Republic,2017,2017,MICS-DHS,"Lao Social Indicator Survey II 2017, Survey Findings Report. Vientiane, Lao PDR: Lao Statistics Bureau and UNICEF",36.16079,36.24772,36.06254,26.44853,40.03519
LBR,Liberia,2006-07,2007,DHS,"Liberia demographic and health survey 2007. Demographic and Health Surveys. Monrovia, Liberia: Liberia Institute of Statistics and Geo-Information Services (LISGIS) and Macro International Inc., 2008",33.63248,31.61898,35.84072,32.77343,34.05278
LBR,Liberia,2013,2013,DHS,"Demographic and health survey 2013. Demographic and Health Surveys. Monrovia, Liberia: Liberia Institute of Statistics and Geo-Information Services (LISGIS) and ICF International, 2014",38.83626,38.77316,38.90508,40.26541,37.3162
LBR,Liberia,2019-20,2019,DHS,"Liberia Demographic and Health Survey 2019-20. Monrovia, Liberia and Rockville, Maryland, USA/ Liberia Institute of Statistics and Geo-Information Services (LISGIS), Ministry of Health [Liberia], and ICF. 2021.",55.75479,54.74027,56.71775,57.42371,53.87347
LKA,Sri Lanka,2016,2016,DHS-Style,Sri Lanka Demographic and Health Survey 2016,10.70174,10.04685,11.37101,12.03601,10.52302
LSO,Lesotho,2009-10,2009,DHS,"Lesotho demographic and health survey 2009. Demographic and Health Surveys. Maseru, Lesotho: MOHSW and ICF Macro, 2010",32.41576,33.91579,31.02984,36.06996,31.38419
LSO,Lesotho,2014,2014,DHS,"Lesotho demographic and health survey (2014 LDHS): Key indicators. Demographic and Health Surveys. Maseru, Lesotho: Ministry of Health and ICF International, 2015",49.98007,49.37469,50.54367,43.89126,52.06943
LSO,Lesotho,2018,2018,MICS,"Lesotho Multiple Indicator Cluster Survey 2018, Survey Findings Report. Maseru, Lesotho: Bureau of Statistics.",35.13867,33.94308,36.45203,33.46027,35.96986
MDA,Republic of Moldova,2005,2005,DHS,"Moldova demographic and health survey 2005. Demographic and Health Surveys. Calverton, Maryland: NCPM of the Ministry of Health and Social Protection and ORC Macro, 2006",9.582886,10.67916,8.373037999999999,9.081863,9.919815
MDG,Madagascar,2008-09,2009,DHS,"Enquête démographique et de santé de Madagascar 2008-2009. Demographic and Health Surveys. Antananarivo, Madagascar: INSTAT et ICF Macro, 2010",33.06824,32.88397,33.25005,27.49624,33.74284
MDG,Madagascar,2018,2018,MICS,"Enquête par grappes à indicateurs multiples-MICS Madagascar 2018, Rapport final. Antananarivo, Madagascar : INSTAT et UNICEF 2019",26.35432,24.95284,27.92123,22.44518,27.30268
MDV,Maldives,2009,2009,DHS,"Maldives demographic and health survey 2009. Demographic and Health Surveys. Calverton, Maryland: MOHF and ICF Macro, 2010",30.51756,29.0419,32.02178,31.43953,30.12213
MDV,Maldives,2016-17,2017,DHS,"Maldives Demographic and Health Survey 2016-17. Malé, Maldives, and Rockville, Maryland, USA: MOH and ICF",15.14612,12.61709,17.85779,11.8433,16.95448
MEX,Mexico,2015,2015,MICS,"Encuesta Nacional de Niños, Niñas y Mujeres en México 2015 - Encuesta de Indicadores Múltiples por Conglomerados 2015, Resultados Principales, 2016",18.3093,18.94503,17.7233,16.4859,23.49096
MHL,Marshall Islands,2017,2017,MICS-Style,"Republic of the Marshall Islands Integrated Child Health and Nutrition Survey 2017, Final Report. Majuro, Republic of the Marshall Islands: RMI Ministry of Health and Human Services, RMI Economic, Policy Planning and Statistic Office, 2017",46.44064,44.91777,48.22079,46.5725,45.79391
MKD,North Macedonia,2018-19,2019,MICS,"2018-2019 North Macedonia Multiple Indicator Cluster Survey, Survey  Findings  Report. Skopje, North Macedonia: State Statistical Office and UNICEF.",12.97778,15.04818,10.70294,13.76797,11.68883
MLI,Mali,2009-10,2010,MICS,"Enquête par Grappes à Indicateurs Multiples 2009 - 2010, Rapport final, Bamako Mali, 2011",58.96392,59.51553,58.38977,58.3764,59.142
MLI,Mali,2015,2015,MICS,"Enquête par Grappes à Indicateurs Multiples au Mali (MICS-Mali), 2015, Résultats clés. Bamako, Mali, INSTAT",69.7535,70.10997,69.37006,70.27970999999999,69.62202000000001
MLI,Mali,2018,2018,DHS,"Enquête Démographique et de Santé au Mali 2018. Bamako, Mali et Rockville, Maryland, USA : INSTAT, CPS/SS-DS-PF et ICF",53.91449,54.83648,52.91317,45.02851,56.30153
MLI,Mali,2019,2019,SMART,"Enquête Nationale Nutritionnelle Anthropométrique et de Mortalité rétrospective suivant la méthodologie SMART, Mali 2019",44.07281,43.55967,44.62533,,
MMR,Myanmar,2015-16,2016,DHS,Myanmar Demographic and Health Survey 2015-16: Final Report. 2016,55.77293,52.76323,59.2841,47.74728,58.50151
MNE,Montenegro,2013,2013,MICS,"2013 Montenegro multiple indicator cluster survey: Final report. Podgorica, Montenegro: MONSTAT and UNICEF, 2014.",8.973618999999999,10.22425,7.580425,7.499347,11.36998
MNE,Montenegro,2018-19,2018,MICS,"2018 Montenegro multiple indicator cluster survey (MICS): Final report. Podgorica, Montenegro: MONSTAT and UNICEF, 2019",10.64707,11.5732,9.428307,7.980842,16.38802
MNG,Mongolia,2013,2013,MICS,"Social indicator sample survey 2013 (MICS). Final Report.Ulaanbaatar, Mongolia: National Statistical Office, 2014.",39.66623,39.83009,39.48574,30.60941,54.54033
MNG,Mongolia,2016,2016,NNS,Nutrition Status of the Population of Mongolia: Fifth National Nutrition Survey Report,36.51312,38.92429,34.19865,32.81706,44.55331
MNG,Mongolia,2018,2018,MICS,"Social Indicator Sample Survey-2018, Survey Findings Report. Ulaanbaatar, Mongolia: National Statistical Office of Mongolia",45.3969,44.28028,46.5487,35.64571,65.27794
MOZ,Mozambique,2011,2011,DHS,"Moçambique inquérito demográfico e de Saúde 2011. Demographic and Health Surveys. Calverton, Maryland, USA: MISAU, INE e ICFI, 2013",35.71434,36.38573,35.07416,38.61911,34.64635
MRT,Mauritania,2015,2015,MICS,"Mauritanie Enquête par Grappes à Indicateurs Multiples (MICS) 2015 - Rapport Final, Mars 2017",51.46906,54.11877,48.91014,31.99224,68.58114999999999
MWI,Malawi,2010,2010,DHS,"Malawi demographic and health survey 2010. Demographic and Health Surveys. Zomba, Malawi, and Calverton, Maryland, USA: NSO and ICF Macro. 2011",29.73503,29.99691,29.46058,28.83675,29.89157
MWI,Malawi,2013-14,2014,MICS,"Malawi MDG endline survey 2014. Final Report. Zomba, Malawi: National Statistical Office, 2014.",21.75585,21.47127,22.03383,23.23903,21.5658
MWI,Malawi,2015-16,2015,DHS,"Malawi Demographic and Health Survey 2015-16. Zomba, Malawi, and Rockville, Maryland, USA. NSO and ICF.",22.92815,23.51585,22.32342,21.24366,23.19014
NAM,Namibia,2006-07,2007,DHS,"Namibia demographic and health survey 2006-07. Demographic and Health Surveys. Windhoek, Namibia and Calverton, Maryland, USA: MoHSS and Macro International Inc., 2008",48.01764,47.83514,48.21248,40.53149,52.6778
NAM,Namibia,2013,2013,DHS,"The Namibia demographic and health survey 2013. Demographic and Health Surveys. Windhoek, Namibia, and Rockville, Maryland, USA: MoHSS and ICF International, 2014",51.83282,52.67556,51.06172,38.14694,63.49321
NER,Niger,2012,2012,DHS,"Enquête démographique et de santé et indicateurs multiples du Niger 2012. Demographic and Health Surveys and MICS. Calverton, Maryland, USA: INS et ICF International, 2013",67.18934,69.32503,65.07182,47.13034,70.56767000000001
NER,Niger,2018,2018,SMART,"Rapport final de l'enquête nationale de nutrition avec la méthodologie SMART, 2018",72.27038,70.40258,74.23236,,
