ISO,m49_code,country,incgrp,fsci_regions,UNmemberstate,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,wb_region,disp_area,totalpop,GDP,GDP_percap,landarea,agland_area,cropland,avail_fruits,avail_veg,UPFretailval_percap,safeh20,fies_modsev,pctcantafford,cohd,pou,All5,NCD_P,NCD_R,SSSD,zeroFV,MDD_W,MDD_iycf,zeroFV_iycf,fs_emissions,emint_cerealsnorice,emint_eggs,emint_beef,emint_chickenmeat,emint_pork,emint_cowmilk,emint_rice,yield_cereals,yield_citrus,yield_fruit,yield_eggs,yield_beef,yield_chickenmeat,yield_pork,yield_pulses,yield_cowmilk,yield_roottuber,yield_treenuts,yield_vegetables,croplandchange_pct,agwaterdraw,functionalintegrity,fishhealth,pesticides,sustNO2mgmt,aginGDP,unemp_tot,unemp_r,unemp_u,underemp_tot,underemp_r,underemp_u,spcoverage,spadequacy,childlabor,landholding_fem,cspart,mufppurbshare,righttofood,fspathway,govteffect,foodsafety,healthtax,accountability,open_budget_index,accessinfo,damages_gdp,kcal_total,mobile,soccapindex,pctagland_minspecies,genres_animal,genres_plant,rcsi_prevalence,fpi_cv,foodsupplyvar
AZE,031,Azerbaijan,Upper middle income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2006,2006,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,,,,2015,2015,,2015,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
BDI,108,Burundi,Low income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,,2020,2020,,,,,,,,2016,2016,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2014,2014,2014,,,2017,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,,2020,2021,2010,2022,,2021,2021,2020
BEL,056,Belgium,High income,Northern America and Europe,1,150,Europe,155,Western Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
BEN,204,Benin,Lower middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,011,Western Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2018,2018,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,,2018,2020,2020,2020,2020,,,,2003,2003,2018,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,2021,2021,2020
BFA,854,Burkina Faso,Low income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,011,Western Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2018,2018,2018,2018,2018,2010,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,,2021,2021,2020
BGD,050,Bangladesh,Lower middle income,Southern Asia,1,142,Asia,034,Southern Asia,,,South Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2019,2019,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2017,2017,2017,2016,2016,2019,2008,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,2020,,2021,2020
BGR,100,Bulgaria,Upper middle income,Northern America and Europe,1,150,Europe,151,Eastern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,2007,2007,,2010,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
BHR,048,Bahrain,High income,Northern Africa & Western Asia,1,,Asia,145,Western Asia,,,Middle East & North Africa,NO,2021,2021,2021,2020,2020,2020,,,2019,2020,,,2020,,,,,,,,,,2020,,2020,2020,2020,,2020,,,2020,2020,2020,2020,2020,,2020,2020,2019,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,,,,,,,,2021,2020,2021,2022,2020,2019,2021,2021,,2021,2013,,2020,2021,2010,,,,2021,
BHS,044,Bahamas,High income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,,2020,,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,,2015,2021,,2018,2020,2020,2020,2020,,,,,,,,,2020,2021,2022,2020,2020,2021,,,2021,2019,2018,2020,,2010,,,,2021,2020
BIH,070,Bosnia and Herzegovina,Upper middle income,Northern America and Europe,1,150,Europe,039,Southern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2015,,2020,2018,2020,2020,2020,2020,2021,2021,2021,2015,2015,,,2021,2020,2021,2022,2020,2019,2021,2021,2021,2021,2021,2018,2020,2021,2010,,2020,,2021,2020
BLR,112,Belarus,Upper middle income,Northern America and Europe,1,150,Europe,151,Eastern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,,2020,2020,2020,,,,,,,2019,2019,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2018,2018,2020,2021,2010,,2020,,2021,2020
BLZ,084,Belize,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,013,Central America,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,,,,,,,2015,2015,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2015,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2019,2019,2019,2009,2009,2013,,,2020,2021,2022,2020,2020,2021,,,2021,2020,2018,2020,2021,2010,,,,2021,2020
BOL,068,Bolivia (Plurinational State of),Lower middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,005,South America,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,,2020,2020,2020,2021,2021,2021,2021,2021,2021,2016,2016,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2019,2020,2020,2020,2019,2019,2019,2019,2019,2019,2013,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,2020,,2021,2020
BRA,076,Brazil,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,005,South America,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,2019,2019,2015,2006,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
BRB,052,Barbados,High income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,,,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,,2018,2020,2020,2020,2020,,,,,,2012,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,2018,2020,,2010,2022,,,2021,2020
BRN,096,Brunei Darussalam,High income,South-eastern Asia,1,142,Asia,035,South-eastern Asia,,,East Asia & Pacific,NO,2021,2021,2021,2020,2020,2020,,,2019,,,,2020,2020,,,,,,,,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2020,2020,2020,,,,,,,2021,2022,2020,,2021,,,2021,,,2020,,2010,,,,2021,2020
BTN,064,Bhutan,Lower middle income,Southern Asia,1,142,Asia,034,Southern Asia,,,South Asia,NO,2021,2020,2020,2020,2020,2020,,,2019,2020,,2020,2020,,,,,,,,2015,2015,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,,,,2017,2012,2010,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2011,,2020,,2010,2022,2020,,2021,
BWA,072,Botswana,Upper middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,018,Southern Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2006,2006,2006,2015,2015,,2015,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2019,2018,2020,2021,2010,2022,2020,,2021,2020
CAF,140,Central African Republic,Low income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2010,2010,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,,,,,,2019,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,2018,2020,2021,2010,,,2021,,2020
CAN,124,Canada,High income,Northern America and Europe,1,019,Americas,021,Northern America,,,North America,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,,,,2011,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
CHE,756,Switzerland,High income,Northern America and Europe,1,150,Europe,155,Western Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2019,2021,2021,,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
CHL,152,Chile,High income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,005,South America,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,2017,2017,2012,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
CHN,156,China,Upper middle income,Eastern Asia,1,142,Asia,030,Eastern Asia,,,East Asia & Pacific,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,,2020,2020,2020,2021,2021,2021,2021,2021,2021,2013,2013,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,2013,2013,,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,,,2021,2020
CIV,384,Côte D'Ivoire,Lower middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,011,Western Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2016,2016,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,,2020,2020,2020,2020,2019,2019,2019,2015,2015,2016,2016,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,,2021,2021,
CMR,120,Cameroon,Lower middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2018,2018,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2019,2020,2020,2020,,,,2014,2014,2014,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,,2021,2021,2020
COD,180,Democratic Republic of the Congo,Low income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2017,2017,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,,2018,2020,2020,2020,2020,,,,2012,2012,2018,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,,2020,2021,2010,2022,,2021,2021,2020
COG,178,Congo,Lower middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2014,2014,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,2005,2005,2015,2015,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,2018,2020,2021,2010,2022,,2021,2021,2020
COL,170,Colombia,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,005,South America,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,,2020,2020,2020,2021,2021,2021,2021,2021,2021,2016,2016,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,,2018,2020,2020,2020,2020,2021,2021,2021,2019,2019,2020,2014,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,2020,2021,2021,2020
COM,174,Comoros,Lower middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,,,2020,,,,,,,2012,2012,2020,2020,2020,2020,2020,,2020,2020,2020,,2020,2020,2020,2020,,2020,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2019,2020,2020,2020,2014,2014,2014,2004,2004,2012,2004,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2019,2018,2020,2021,,2022,,,2021,2020
CPV,132,Cabo Verde,Lower middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,011,Western Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,2007,2007,,2004,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2020,2018,2020,2021,2010,,,,2021,2020
CRI,188,Costa Rica,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,013,Central America,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2018,2018,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,,2018,2020,2020,2020,2020,2021,2021,2021,2019,2019,2018,2014,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
CUB,192,Cuba,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,2021,2020,2020,2020,2020,2020,2019,2019,2019,,,,,2020,,,,,,,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,,2018,2020,2020,2020,2020,,,,,,,,2021,2020,2021,2022,2020,2019,2021,2021,,2021,2020,2018,2020,2021,2010,,2020,,,2020
CYP,196,Cyprus,High income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,2018,2020,2021,2010,,2020,,2021,2020
CZE,203,Czechia,High income,Northern America and Europe,1,150,Europe,151,Eastern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2019,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
DEU,276,Germany,High income,Northern America and Europe,1,150,Europe,155,Western Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2017,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
DJI,262,Djibouti,Lower middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Middle East & North Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,,,,,,,,,2020,2020,,2020,,,2020,,2020,,,,2020,,,2020,2020,,,2020,2020,2018,2015,2021,,2018,2019,2020,2020,2020,,,,2012,2012,,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,2018,2020,2021,2010,2022,,,2021,2020
DMA,212,Dominica,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,,,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,,,2018,2020,,,,,,,2002,2002,,,,2020,2021,2022,2020,2019,2021,,,2021,2017,2018,2020,,2010,,,,2021,2020
