country,ISO,year,accountability,accountability_lower,accountability_upper,incgrp,wb_region,UNmemberstate,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code
Afghanistan,AFG,1984,-1.163,-1.423,-.96700001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1988,-.99000001,-1.174,-.78200001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1978,-1.02,-1.2180001,-.77499998,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2000,-1.698,-1.9299999,-1.4450001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2014,.465,.248,.64399999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2021,-.93699998,-1.1569999,-.68300003,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Angola,AGO,1999,-.39500001,-.64600003,-.191,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2014,-.18000001,-.375,.02,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2000,-.391,-.60600001,-.161,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2013,-.185,-.39700001,-.0089999996,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2016,-.183,-.38600001,.013,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1989,-1.401,-1.651,-1.189,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2008,-.191,-.414,-.021,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1970,-1.373,-1.596,-1.1109999,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2003,-.322,-.55500001,-.107,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2002,-.403,-.625,-.17200001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2018,.063000001,-.141,.25799999,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1998,-.40700001,-.64499998,-.193,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1961,-1.399,-1.642,-1.1799999,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1994,-.39300001,-.61799997,-.17,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1981,-1.414,-1.663,-1.193,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1987,-1.406,-1.615,-1.165,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1991,-1.1569999,-1.355,-.91299999,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1986,-1.4069999,-1.635,-1.177,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2011,-.163,-.336,.050000001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1980,-1.405,-1.6339999,-1.182,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1997,-.396,-.61199999,-.152,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1974,-1.322,-1.552,-1.095,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1973,-1.387,-1.62,-1.1670001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2019,.097999997,-.103,.29699999,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2006,-.289,-.50099999,-.050999999,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1978,-1.425,-1.659,-1.204,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1968,-1.393,-1.633,-1.159,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1982,-1.411,-1.62,-1.166,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1966,-1.4,-1.637,-1.154,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1960,-1.401,-1.647,-1.154,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2004,-.31799999,-.53799999,-.090999998,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1962,-1.387,-1.6289999,-1.1390001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1965,-1.397,-1.604,-1.135,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2021,.082999997,-.114,.27700001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1963,-1.393,-1.624,-1.145,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1995,-.39199999,-.60799998,-.153,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1993,-.39399999,-.60000002,-.152,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1977,-1.4299999,-1.652,-1.197,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1975,-1.441,-1.683,-1.229,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2007,-.28600001,-.50999999,-.050999999,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1964,-1.405,-1.626,-1.143,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2020,.094999999,-.1,.294,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1971,-1.375,-1.602,-1.1210001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1992,-.25799999,-.46599999,-.079000004,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1972,-1.383,-1.626,-1.154,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1976,-1.397,-1.6160001,-1.1619999,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2005,-.278,-.49000001,-.043000001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2012,-.182,-.37200001,.017000001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1990,-1.347,-1.5599999,-1.11,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1988,-1.405,-1.609,-1.151,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2009,-.16599999,-.37200001,.028000001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1979,-1.443,-1.635,-1.1799999,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1969,-1.383,-1.6109999,-1.1210001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2015,-.18099999,-.37599999,.027000001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1996,-.39199999,-.61699998,-.176,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2010,-.16599999,-.352,.045000002,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1967,-1.402,-1.653,-1.177,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2001,-.38299999,-.60600001,-.15700001,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1984,-1.411,-1.65,-1.198,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,2017,-.075999998,-.25099999,.146,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1985,-1.4119999,-1.633,-1.177,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Angola,AGO,1983,-1.4069999,-1.673,-1.216,Lower middle income,Sub-Saharan Africa,1,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024
Albania,ALB,1980,-1.3099999,-1.501,-1.107,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1984,-1.302,-1.518,-1.118,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1983,-1.314,-1.4960001,-1.105,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2014,.80400002,.602,.99400002,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2002,.833,.63599998,1.033,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1962,-1.3049999,-1.499,-1.108,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1995,.63,.46000001,.85299999,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2018,.81,.60299999,.99699998,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1971,-1.306,-1.5,-1.107,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1981,-1.306,-1.498,-1.105,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1986,-1.301,-1.51,-1.11,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2017,.84500003,.65399998,1.049,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2020,.78500003,.60900003,1.0140001,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1970,-1.312,-1.516,-1.11,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2016,.81999999,.634,1.024,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1994,.61199999,.40000001,.79500002,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1967,-1.314,-1.506,-1.125,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1978,-1.317,-1.4960001,-1.11,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1998,.62699997,.41100001,.80599999,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1963,-1.316,-1.503,-1.113,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2019,.78200001,.56999999,.97100002,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1968,-1.311,-1.505,-1.11,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2015,.81599998,.63599998,1.024,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2021,.75400001,.54900002,.94800001,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2005,.95999998,.76999998,1.171,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1964,-1.3150001,-1.52,-1.124,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2009,.97600001,.77999997,1.1619999,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1973,-1.316,-1.505,-1.11,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1990,-1.01,-1.22,-.824,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1997,.56999999,.35800001,.75,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1974,-1.314,-1.495,-1.114,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1960,-1.306,-1.5039999,-1.103,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1965,-1.3099999,-1.506,-1.102,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2012,.97299999,.78299999,1.173,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1966,-1.313,-1.503,-1.1160001,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1989,-1.285,-1.5,-1.1059999,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2000,.68099999,.50099999,.88300002,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1992,.66500002,.43900001,.83499998,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1976,-1.3,-1.502,-1.097,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2006,.98699999,.77899998,1.166,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2008,.97500002,.76899999,1.151,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1969,-1.299,-1.5,-1.109,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1985,-1.313,-1.498,-1.108,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1979,-1.311,-1.5039999,-1.112,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1993,.551,.347,.73799998,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2013,.78399998,.59299999,.98400003,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1988,-1.293,-1.478,-1.087,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2003,.84399998,.634,1.028,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2004,.86299998,.65600002,1.061,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1987,-1.299,-1.506,-1.1109999,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1977,-1.312,-1.505,-1.1109999,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1975,-1.3049999,-1.515,-1.119,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2011,.97899997,.778,1.175,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1999,.64300001,.45100001,.83700001,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1982,-1.308,-1.499,-1.107,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2010,.98299998,.78600001,1.173,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1961,-1.309,-1.5089999,-1.1210001,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2001,.82599998,.63499999,1.036,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1996,.505,.303,.69499999,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1972,-1.3099999,-1.492,-1.101,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,2007,.995,.80800003,1.212,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
Albania,ALB,1991,.301,.078000002,.46900001,Upper middle income,Europe & Central Asia,1,,150,Europe,039,Southern Europe,,,008
United Arab Emirates,ARE,2012,-.67400002,-.87599999,-.48300001,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,1984,-1.066,-1.324,-.85000002,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,1982,-1.138,-1.38,-.93099999,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,2021,-.73299998,-.92400002,-.54100001,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,2011,-.68099999,-.88700002,-.49000001,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,1978,-1.1160001,-1.345,-.88800001,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,1997,-.91799998,-1.147,-.69400001,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,1980,-1.136,-1.385,-.93099999,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,2003,-.94700003,-1.178,-.72399998,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,1983,-1.105,-1.313,-.84899998,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,1992,-.98500001,-1.189,-.73500001,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,2009,-.70499998,-.88200003,-.48300001,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,2014,-.65499997,-.87199998,-.47600001,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,1995,-.917,-1.141,-.70099998,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
United Arab Emirates,ARE,1977,-1.138,-1.3559999,-.89899999,High income,Middle East & North Africa,1,,142,Asia,145,Western Asia,,,784
