ISO,m49_code,country,incgrp,fsci_regions,UNmemberstate,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,wb_region,cohd,avail_fruits,avail_veg,UPFretailval_percap,safeh20,pou,fies_modsev,pctcantafford,MDD_W,MDD_iycf,All5,zeroFV,zeroFV_iycf,NCD_P,NCD_R,SSSD,fs_emissions,emint_cerealsnorice,emint_beef,emint_cowmilk,emint_rice,yield_cereals,yield_fruit,yield_beef,yield_cowmilk,yield_vegetables,croplandchange_pct,agwaterdraw,functionalintegrity,fishhealth,pesticides,sustNO2mgmt,aginGDP,unemp_r,underemp_r,spcoverage,spadequacy,childlabor,landholding_fem,cspart,mufppurbshare,righttofood,fspathway,govteffect,foodsafety,healthtax,accountability,open_budget_index,accessinfo,damages_gdp,kcal_total,mobile,soccapindex,pctagland_minspecies,genres_plant,genres_animal,rcsi_prevalence,fpi_cv,foodsupplyvar,totalpop,GDP,GDP_percap,landarea,agland_area,cropland,yield_eggs,emint_eggs,emint_chickenmeat,emint_pork,yield_citrus,yield_chickenmeat,yield_pork,yield_pulses,yield_roottuber,yield_treenuts,pop_u,prod_cereals,prod_citrus,prod_fruit,prod_eggs,prod_beef,prod_chickenmeat,prod_pork,prod_pulses,prod_cowmilk,prod_roottuber,prod_treenuts,prod_vegetables,prod_cerealsnorice,prod_rice,areaharvested_cereals,areaharvested_citrus,areaharvested_fruit,producinganimals_eggs,producinganimals_beef,producinganimals_chickenmeat,producinganimals_pork,areaharvested_pulses,producinganimals_cowmilk,areaharvested_roottuber,areaharvested_treenuts,areaharvested_vegetables,agland_area2010,agland_area2015
BHS,44,Bahamas,High income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Latin America & Caribbean,4.4879999,399.39725,277.64383,699.89679,,,17.200001,,,,,,,,,,761.88861,0.30610001,7.7315998,2.5162001,,7.8415,19.1811,172.7,1005.7,9.6081,0,,99.44889348,39.32741195,,1.137753362,0.719289,12.5,,,,,,,0,3,1,0.452162713,80,0,,,1,25.771633,0.789478838,118.50149,,0,,,,0.63023627,37,396914,11208600000,28239.367,10.01,0.14,0.12,0.075603,0.708,1.8291,2.9861,27.0243,0.012036,50,1.4419,4.817,,331.13199,643,28943,48413,877,19,6379,360,186,710,2606,,33388,643,,82,1071,2524,116,0.11,5300,7.195,129,0.706,541,,3475,0.15000001,0.14
BHR,48,Bahrain,High income,Northern Africa & Western Asia,1,,Asia,145,Western Asia,,,Middle East & North Africa,3.835,,,393.01373,98.98326213,,,,,,,,,,,,5946.4595,,4.2863998,0.91039997,,,6.2252,120,2204.7,60.1954,0,124.74138,81.40205235,,1.99,1.366344941,0.29512501,1.256,,,,,,0.197,0,2,0,0.428747118,100,1,-0.79500002,,0,0,,102.76785,0.65614766,0,,,,0.88356805,,1748295,38868663032,22232.326,0.78500003,0.086000003,0.046,0.109667,0.51419997,4.1753001,,11.8085,0.008968,,0.75,30,2.0769,1444.72,,1110,21284,3948,853,9125,,9,11297,14,351,18179,,,,94,3419,360,7.11,10175,,12,5.124,0,169,302,0.086000003,0.086000003
BGD,50,Bangladesh,Lower middle income,Southern Asia,1,142,Asia,34,Southern Asia,,,South Asia,3.0639999,78.794518,106.90411,16.19112,58.51187913,11.4,31.700001,73.5,58.79,33.84741,21.99,14.12,44.83957,2.87,1.48,10.85,152728.02,0.12530001,94.702797,10.0619,0.76249999,4.9013,9.5637,71.6,205.2,9.8407,1.0251796,2.5671701,29.68201297,35.6624775,1.67,0.516910907,12.6452,4.9439998,3,40.991203,6.0996795,5.9000001,3,0.67400002,0,1,1,-0.787878275,60,0,-0.121,30,1,0,0.528627992,107.03754,0.36662492,27.191414,34.467,,,0.74155074,39,166303494,4.16265E+11,2503.0439,130.17,99.010002,93.010002,0.024615,2.1651001,1.2405,,2.0673,0.006996,,1.0655,20.2754,,78540.023,59960399,167104,5027255,558992,193671,210615,,470917,842289,9851719,,7138722,5054508,54905892,12233631,80832,525659,227096,2705.632,301034,,441967,4105.199,485894,,725428,92.410004,94.242401
BRB,52,Barbados,High income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Latin America & Caribbean,,187.12329,191.75342,360.25238,,3.4,31.1,,,,,,,,,,479.84781,2.1486001,121.3527,1.4902,,3,7.7151,171,1707.1,9.1218,-2.5,68.5,60.28810244,6.599207488,,1.143729596,1.60279,9.2419996,,,,1.2,,0.90100002,0,3,0,0.489311546,80,1,1.363,,0,0,0.792152464,102.65333,,0,,0,,0.61202413,26,287708,4900800000,17033.938,0.43000001,0.1,0.079999998,0.034895,1.5298001,0.7913,1.6476001,,0.016314,82.1,2.4581,18.6711,,57.257,12,,5146,3329,146,15735,2848,1701,5338,2838,,10563,12,,4,,667,954,0.854,9645,34.686,692,3.127,152,,1158,0.15000001,0.11
BLR,112,Belarus,Upper middle income,Northern America and Europe,1,150,Europe,151,Eastern Europe,,,Europe & Central Asia,3.3099999,203.26028,428.65756,212.7337,94.61114668,2.5,,0.2,,69.58461,,,2.951749,,,,65561.445,0.26460001,18.1346,0.6961,,3.5399,8.9171,229.5,5219.4,30.5707,-0.10625034,0.71848011,75.07659181,,0.80000001,1.065496685,6.8293099,2.8150001,0.60000002,71.870018,53.374023,4,,0.249,0,1,0,-0.729318202,100,0,-1.0599999,,1,0,0.72990489,123.86161,0.50972599,0.2538071,27.494,,,0.74908555,24,9340314,68218816484,7303.6963,202.98,82.809998,57.599998,0.100969,1.4206001,0.1761,1.506,,0.011576,79.2,2.7264,20.6405,2.4538,6397.6021,8403688,,776183,200172,340500,512515,402700,365966,7751800,5231168,19336,1782395,6810124,,2374010,,87044,19825,1483.806,442730,5081.552,134229,1485.2,253442,7880,58304,88.980003,85.742004
BEL,56,Belgium,High income,Northern America and Europe,1,150,Europe,155,Western Europe,,,Europe & Central Asia,3.1300001,271.47943,372.30136,848.3869,99.9,2.5,4.8000002,0.2,,,,,,,,,26212.758,0.19930001,15.4603,0.565,,8.4309,31.0762,325.2,8270.4,32.1559,0.82139599,0.24590164,65.41427013,20.43666925,6.2600002,0.771963345,0.71900803,4.0349998,5.4000001,,,,15.1,0.94199997,36.996613,2,0,1.124298692,100,1,1.7359999,,1,0.33340055,0.961595297,99.4832,0.59123135,0,9.309,3,,0.62066406,21,11587882,5.99879E+11,51767.789,30.280001,13.646092,8.884901,0.123502,0.97610003,0.1534,1.6395,,0.014844,98.5,4.2017,40.3627,0,10075.749,2565860,0,615930,115400,254510,441300,1098800,25210,4449000,3928910,0,2095600,2512700,,304340,0,19820,,782.65,297295,11151.06,6000,537.94,97340,110,65170,13.556999,13.28
BLZ,84,Belize,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,13,Central America,Latin America & Caribbean,2.1400001,290.32877,122.19178,177.78871,,7.4,42.299999,36.400002,,57.82964,,,30.32494,,,,6129.6338,0.50209999,129.4971,3.4208,0.7421,3.5263,10.662,204.1,738.6,5.8858,0.32786885,0.31471428,98.99424931,22.5957059,10.94,0.644945266,9.1189003,6.605,20.5,39.38702,23.345619,2.2,,,0,2,0,-0.646433532,80,0,,,1,0,0.592263579,66.393715,0.30563843,83.720932,,,,0.65877706,27,404915,1789923264,4420.4912,22.809999,1.72,1.22,0.052228,1.0204999,0.228,2.6658001,6.8643,0.017067,54.4,1.0493,9.9467,1.2,287.64499,112007,100356,211576,2930,1578,18298,2052,10001,4522,2427,0,11854,98065,13942,31763,14620,19844,561,7.733,10721,37.701,9531,6.122,244,0,2014,1.5700001,1.7
BEN,204,Benin,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sub-Saharan Africa,3.707,120,149.17809,26.73468,,7.4,67.900002,82.900002,42.07,25.88009,20.89,15.43,54.10048,2.88,1.24,10.84,18965.801,0.1964,57.6889,9.1152,0.40799999,1.4328,10.5657,213.2,206,6.1957,0,0.22356953,83.52485991,4.013833973,,0.652714058,27.1091,1.086,,6.6269808,39.493587,17,,0.66100001,0,2,1,-0.263881207,40,0,0.456,65,1,0,0.646482944,91.897278,0.39012679,25.4886,0.483,0,40.044922,0.83997238,6,12451031,17785640079,1428.4471,112.76,39.5,34,0.009208,6.2837,1.1513,20.9034,2.2858,0.0055,30,0.9964,12.5754,0.3617,11362.856,2203105,14906,627319,16851,44064,15508,7087,183714,128415,7370731,191615,702795,1787145,411578,1537675,6521,59373,18301,206.684,28196,236.23,184376,623.376,586125,529694,113432,36.5,39.5
BTN,64,Bhutan,Lower middle income,Southern Asia,1,142,Asia,34,Southern Asia,,,South Asia,5.0289998,,,47.307411,36.64769794,,,53,,15.50018,,,60.93697,,,,742.45581,0.096100003,35.168098,1.4872,0.8355,3.4415,8.2566,103,1388.1,6.0371,-2.5199997,0.40769231,99.96055081,,0.34999999,0.766512019,17.1775,2.3529999,,0.89294147,27.636494,1.7,,0.79100001,0,2,1,0.37318629,60,0,0.93099999,,0,0,,96.569374,,2.3333333,1.162,1,,0.79677767,,779900,2315436303,3000.7781,38.139999,5.1300001,1,0.052776,0.95609999,0.092799999,2.4356,7.9487,0.010492,41.8,0.9467,12.6854,5.7632,425.672,103298,41651,56475,7072,3900,1835,879,2521,179534,80565,219,48273,45324,54088,30015,5240,6840,1340,37.863,1749,21.005,2663,129.339,6351,38,7996,5.1999998,5.2559996
BOL,68,Bolivia (Plurinational State of),Lower middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,5,South America,Latin America & Caribbean,3.7550001,258.84933,104.90411,165.09016,,13.9,,24.700001,86.82,70.48437,48.08,2.94,15.78698,4.69,2.68,38.13,112587.06,0.086099997,71.951103,0.9149,0.82679999,2.024,10.491,198.4,2757.5,4.8791,0.52642578,0.33449477,98.7742344,,4.0300002,0.560531641,12.2218,0.833,1.6,77.989639,39.013309,12.3,25.200001,0.85100001,38.812401,1,1,-0.562045515,20,0,0.55699998,20,1,0,0.615842342,101.12501,0.29582581,24.645416,11.506,,,0.94079959,12,11832936,40408208524,3414.8928,1083.3,377.87,47.869999,0.049307,1.0851001,1.7013,5.9949999,8.5403,0.027065,59,1.2349,6.8648,1.9755,8365.1484,2914459,466001,1540081,113989,276447,471127,113397,122134,542505,1578469,111725,392752,2356082,487427,1439926,54565,146800,23118,1393.19,174073,1920.427,98904,196.74,229936,56554,80496,375.16,376.60999
BIH,70,Bosnia and Herzegovina,Upper middle income,Northern America and Europe,1,150,Europe,39,Southern Europe,,,Europe & Central Asia,3.9949999,247.26027,694.73975,225.2955,88.86918054,2.5,12.6,3.7,,,,,,,,,6398.1147,0.1733,33.268799,1.5421,,6.0507,2.7358,255.6,3030.2,5.8583,-0.10704728,,93.48922728,,2.4300001,1.025743445,6.2046399,15.866,1,50.349594,32.451496,,,0.68900001,0,2,0,-0.975191355,80,0,0.71499997,32,1,0,0.717765272,106.97555,0.31071249,21.289356,0.971,,,0.67492056,30,3263459,22571512867,6916.4385,51.200001,22.16,11.21,0.063702,1.6014,0.67400002,20.7845,0.8519,0.015905,76,1.9774,11.2985,1.3521,2446.4619,1944178,230,432324,24780,14465,65932,7621,23059,629133,441218,6409,799683,1881756,,321317,270,158026,3890,56.597,41453,100.213,11661,207.622,39051,4740,136505,21.440001,21.76
BWA,72,Botswana,Upper middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,18,Southern Africa,Sub-Saharan Africa,3.701,71.726028,150.16438,189.30391,,21.9,55.599998,61.400002,,,,,,,,,49404.629,0.35780001,38.938,1.3491,,1.0336,12.584,166.3,1391.9,16.8471,0.030533884,0.56372547,99.46409771,,0.059999999,1.381094082,2.1440001,25.209999,7.5,55.443806,26.048006,,35.400002,0.92500001,0,3,1,0.256799161,40,0,0.94,34,0,0,0.59785074,162.84079,0.42599982,0,3.044,1,,1.306989,31,2397240,17613846473,7347.5522,566.72998,258.62,2.6199999,0.050975,1.1306,0.1321,1.8706,11.2857,0.008518,39.8,0.4786,11.2205,,1576.782,162158,4029,32152,3400,28277,3696,344,20703,267738,112586,,81439,158119,,156886,357,2555,667,170,4339,8.642,43258,192.361,10034,,4834,258.60999,258.616
BRA,76,Brazil,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,5,South America,Latin America & Caribbean,3.0840001,271.0137,138.84932,241.35852,85.76566655,4.1,28.9,19,,,,,,,,,1380202.1,0.1734,39.994099,1.1173,0.55669999,5.2557,19.0949,337.9,2258.1,24.2815,0.16719669,0.43425465,94.72249671,18.95135228,5.9400001,0.43740179,5.90558,10.098,11.5,50.312668,42.330589,3.4000001,12.8,0.75099999,38.911926,1,1,-0.447031349,100,0,1.115,80,1,0.22020145,0.593353033,96.836349,0.18507898,7.567606,203.239,1,,0.73866016,27,213993441,1.60898E+12,7518.8345,8358.1396,2368.7881,635.17999,0.129107,0.41440001,0.33570001,1.9434,28.0715,0.022955,90.8,1.1211,16.2911,0.4152,183459.2,125568280,19401609,39758842,3260859,10100000,13787480,4482048,3055023,36508411,23071053,180127,8373666,114375544,11091011,23891692,691149,2082172,252571,29887.036,6006415,49356.207,2724952,16167.625,1416177,433811,344858,2318.342,2354.3821
BRN,,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2511,504,8133,9800,1910,26326,31,,50,3933,,9858,,2511,853,73,1794,1163,7.647,17577,0.891,,0.105,699,,6314,0.134,0.134
BGR,100,Bulgaria,Upper middle income,Northern America and Europe,1,150,Europe,151,Eastern Europe,,,Europe & Central Asia,4.1079998,168.9315,266.30136,280.51419,97.61733619,3,15.5,8.5,,,,,,,,,15231.172,0.273,45.729599,1,5.5093002,4.3734,6.9177,154.4,3644.5,20.1122,0.004391048,3.399061,67.76153482,9.504569961,1.16,0.518370414,3.41329,9.0880003,0.69999999,73.607925,32.192337,,22.799999,0.81,0,2,0,-0.072219908,80,0,1.1950001,71,1,0,0.668715596,114.35277,0.40992534,75.153755,69.413,2,,0.57217747,29,6899125,80271119426,11634.971,108.56,50.470001,36.439999,0.128526,1.3886,0.66670001,1.9183,,0.017017,67.4,1.6889,19.3296,0.6478,5306.6641,8598290,0,464940,64263,16690,86900,65550,42560,881760,192330,6070,340500,8481360,65810,1966050,0,67210,,108.11,51068,973.01,25200,241.94,9950,9370,16930,50.52,50.118999
BFA,854,Burkina Faso,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sub-Saharan Africa,3.345,14.273973,39.534248,31.174059,,18,52.599998,80.099998,38.73,35.60064,15.89,12.07,25.95632,2.83,1,11.96,34841.863,0.1151,103.1627,14.5601,3.4758999,1.1704,5.9711,87.4,129,9.3562,0,3.1162963,56.50357849,,0.14,0.896330377,20.425501,3.711,1,56.981525,17.217672,35.099998,,0.90700001,26.610853,2,1,-0.669525266,60,0,1.051,31,1,0,0.642758608,105.80744,0.44224966,34.650036,,0,22.633789,1.2301607,28,21497097,19737615114,918.15259,273.60001,121.43,61.43,0.029376,1.9698,2.0557001,17.572001,6.2917,0.008,30.3,0.5113,8.3987,1.0784,12920.42,5122798,1510,104416,49778,108296,45297,40538,740641,214079,194094,164098,302869,4717000,395443,4377000,240,17487,16945,1238.931,56621,1335.7,1448650,1660,23110,152163,32371,121.43,121.43
BDI,108,Burundi,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Sub-Saharan Africa,2.9430001,216.60274,103.45205,13.772078,,,,97.199997,,18.48604,,,9.260568,,,,7895.3608,0.2191,60.5359,3.9031,0.70889997,1.3143,7.4996,202.2,481.1,9.2831,0,1.7708998,68.4741812,,0.029999999,0.767308117,28.454399,0.76499999,7.8000002,,,20.5,,0.35699999,0,1,1,-1.259296179,40,0,-0.65600002,9,0,0,,55.767147,0.43029925,40.199337,,0,35.151871,0.82778525,31,12255429,2902029386,236.79541,25.68,20.33,15.5,0.030975,1.872,1.1035,21.5711,,0.009,71.2,0.6368,9.0551,1.084,2636.354,466067,,1723465,2382,10514,6653,10061,478446,65000,3931182,300910,482675,304610,150000,354619,,229808,769,51.991,7392,141.234,751294,135.113,434139,277597,51995,18.33,20.33
