ISO,country,year,unemp,underemp,sex,agegroup,geog,incgrp,wb_region,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code,fsci_regions
ARM,Armenia,2020,12.844,6.1999998,Female,Total population age 15+,Rural,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,24.284,8.8000002,Total,"Youth, age 15-24",Rural,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,46.824001,2.8,Male,"Youth, age 15-24",Urban,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,27.667,4.1999998,Female,"Adults, age 25+",Urban,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,21.171,7.0999999,Male,"Youth, age 15-24",Rural,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,20.336,5.9000001,Male,Total population age 15+,Total,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,36.589001,5.8000002,Total,"Youth, age 15-24",Total,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,13.107,8.6999998,Male,"Adults, age 25+",Rural,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,45.005001,2.5999999,Total,"Youth, age 15-24",Urban,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,19.552999,5.4000001,Total,"Adults, age 25+",Total,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,35.060001,5.1999998,Male,"Youth, age 15-24",Total,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,11.464,5.9000001,Female,"Adults, age 25+",Rural,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,20.556,5,Female,"Adults, age 25+",Total,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,12.36,7.1999998,Total,"Adults, age 25+",Rural,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,29.386999,4.0999999,Female,Total population age 15+,Urban,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,25.009001,3.8,Total,"Adults, age 25+",Urban,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,27.027,3.7,Total,Total population age 15+,Urban,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,13.95,8.5,Male,Total population age 15+,Rural,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,18.743,5.9000001,Male,"Adults, age 25+",Total,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,29.563999,11.2,Female,"Youth, age 15-24",Rural,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,25.125999,3.2,Male,Total population age 15+,Urban,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,38.513,6.5,Female,"Youth, age 15-24",Total,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
AUS,Australia,2020,15.665,22.799999,Total,"Youth, age 15-24",Urban,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,9.9709997,30.1,Female,"Youth, age 15-24",Rural,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,6.5539999,8.8000002,Male,Total population age 15+,Total,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,3.878,6.0999999,Total,"Adults, age 25+",Rural,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,4.9819999,11.2,Female,Total population age 15+,Rural,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,13.164,25.9,Female,"Youth, age 15-24",Total,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,7.1240001,11.8,Total,Total population age 15+,Urban,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,5.0380001,9.3000002,Total,"Adults, age 25+",Total,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,7.0089998,14.3,Female,Total population age 15+,Urban,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,4.02,8,Female,"Adults, age 25+",Rural,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,16.638,20.1,Male,"Youth, age 15-24",Urban,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,3.7539999,4.5,Male,"Adults, age 25+",Rural,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,5.0710001,8.6000004,Total,Total population age 15+,Rural,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,15.346,20.1,Male,"Youth, age 15-24",Total,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,6.3540001,13.8,Female,Total population age 15+,Total,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,12.825,19.9,Male,"Youth, age 15-24",Rural,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,5.0370002,11.6,Female,"Adults, age 25+",Total,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,6.46,11.3,Total,Total population age 15+,Total,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,5.1500001,6.3000002,Male,Total population age 15+,Rural,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,11.456,25.200001,Total,"Youth, age 15-24",Rural,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,14.684,25.1,Female,"Youth, age 15-24",Urban,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,5.645,7.6999998,Male,"Adults, age 25+",Urban,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,5.0380001,7.0999999,Male,"Adults, age 25+",Total,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,5.5229998,12.4,Female,"Adults, age 25+",Urban,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,5.5890002,10,Total,"Adults, age 25+",Urban,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,14.272,23.200001,Total,"Youth, age 15-24",Total,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUS,Australia,2020,7.2249999,9.3000002,Male,Total population age 15+,Urban,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUT,Austria,2020,5.3600001,3.8,Total,Total population age 15+,Total,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,5.2270002,5.3000002,Female,Total population age 15+,Total,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,11.207,3.3,Male,"Youth, age 15-24",Total,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,6.2880001,3,Total,"Youth, age 15-24",Rural,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,2.53,4.4000001,Female,"Adults, age 25+",Rural,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,6.9660001,4.5,Total,Total population age 15+,Urban,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,7.2249999,3.3,Male,Total population age 15+,Urban,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,4.691,5.4000001,Female,"Adults, age 25+",Total,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,5.862,4.3000002,Female,"Youth, age 15-24",Rural,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,2.1800001,1.1,Male,"Adults, age 25+",Rural,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,6.1739998,4.5,Total,"Adults, age 25+",Urban,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,6.6729999,5.9000001,Female,Total population age 15+,Urban,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,4.7080002,2.4000001,Male,"Adults, age 25+",Total,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,10.43,4.0999999,Total,"Youth, age 15-24",Total,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,9.4919996,5.0999999,Female,"Youth, age 15-24",Total,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,2.904,4.4000001,Female,Total population age 15+,Rural,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,2.8180001,2.7,Total,Total population age 15+,Rural,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,6.0339999,6,Female,"Adults, age 25+",Urban,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,2.3440001,2.5999999,Total,"Adults, age 25+",Rural,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,4.6999998,3.8,Total,"Adults, age 25+",Total,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,5.4770002,2.4000001,Male,Total population age 15+,Total,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,2.744,1.2,Male,Total population age 15+,Rural,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,11.773,5.6999998,Female,"Youth, age 15-24",Urban,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,14.529,4.3000002,Male,"Youth, age 15-24",Urban,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,13.241,5,Total,"Youth, age 15-24",Urban,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AUT,Austria,2020,6.2989998,3.2,Male,"Adults, age 25+",Urban,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
BDI,Burundi,2014,.88200003,6.0999999,Female,"Adults, age 25+",Total,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,2.0190001,8.6000004,Male,Total population age 15+,Total,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,1.853,10.1,Total,"Youth, age 15-24",Rural,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,2.829,9.8999996,Total,"Youth, age 15-24",Total,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,9.9589996,7.1999998,Total,Total population age 15+,Urban,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,9.5249996,6.8000002,Male,Total population age 15+,Urban,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,1.152,7,Female,Total population age 15+,Total,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,.75800002,7.8000002,Total,Total population age 15+,Rural,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,1.38,8.1999998,Male,"Adults, age 25+",Total,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,2.79,10.5,Male,"Youth, age 15-24",Rural,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,.456,6.9000001,Female,Total population age 15+,Rural,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,1.128,7.0999999,Total,"Adults, age 25+",Total,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,3.9949999,10.2,Male,"Youth, age 15-24",Total,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,8.8430004,7.0999999,Total,"Adults, age 25+",Urban,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,10.604,7.5999999,Female,Total population age 15+,Urban,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,.206,5.9000001,Female,"Adults, age 25+",Rural,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BDI,Burundi,2014,13.281,7.5999999,Total,"Youth, age 15-24",Urban,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
