ISO,country,wb_region,incgrp,year,genres_animal,genres_plant,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code
ARG,Argentina,Latin America & Caribbean,Upper middle income,2006,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2007,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2008,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2009,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2010,0,4.243,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2011,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2012,0,4.84,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2013,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2014,0,5.608,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2015,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2016,0,5.743,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2017,0,5.816,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2018,0,5.981,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2019,0,5.975,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2020,0,5.975,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2021,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARM,Armenia,Europe & Central Asia,Upper middle income,2000,,2.546,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051
ARM,Armenia,Europe & Central Asia,Upper middle income,2005,,4.688,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051
ARM,Armenia,Europe & Central Asia,Upper middle income,2010,,6.544,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051
ARM,Armenia,Europe & Central Asia,Upper middle income,2012,,6.702,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051
ARM,Armenia,Europe & Central Asia,Upper middle income,2014,,6.711,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051
ARM,Armenia,Europe & Central Asia,Upper middle income,2016,,6.789,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051
ARM,Armenia,Europe & Central Asia,Upper middle income,2017,,6.918,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051
ARM,Armenia,Europe & Central Asia,Upper middle income,2018,,6.918,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051
ARM,Armenia,Europe & Central Asia,Upper middle income,2019,,6.918,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051
ARM,Armenia,Europe & Central Asia,Upper middle income,2020,,4.297,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051
AUS,Australia,East Asia & Pacific,High income,2000,,170.55,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036
AUS,Australia,East Asia & Pacific,High income,2005,,202.075,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036
AUS,Australia,East Asia & Pacific,High income,2010,,211.286,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036
AUS,Australia,East Asia & Pacific,High income,2012,,215.776,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036
AUS,Australia,East Asia & Pacific,High income,2014,,218.003,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036
AUS,Australia,East Asia & Pacific,High income,2016,,221.788,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036
AUS,Australia,East Asia & Pacific,High income,2017,,222.805,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036
AUS,Australia,East Asia & Pacific,High income,2018,,223.158,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036
AUS,Australia,East Asia & Pacific,High income,2019,,248.905,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036
AUS,Australia,East Asia & Pacific,High income,2020,,249.056,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036
AUT,Austria,Europe & Central Asia,High income,2000,0,7.116,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2001,3,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2002,3,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2003,3,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2004,3,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2005,3,9.981999999999999,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2006,3,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2007,3,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2008,3,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2009,3,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2010,3,11.557,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2011,3,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2012,4,11.669,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2013,5,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2014,5,11.722,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2015,5,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2016,4,11.964,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2017,4,11.964,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2018,4,11.964,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2019,4,11.964,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2020,9,11.964,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AUT,Austria,Europe & Central Asia,High income,2021,9,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2000,,6.649,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2005,,9.132999999999999,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2010,,11.392,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2012,,11.827,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2014,,11.839,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2016,,12.712,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2017,,12.712,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2018,,12.712,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2019,,13.61,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2020,0,13.237,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2021,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031
BDI,Burundi,Sub-Saharan Africa,Low income,2020,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108
BDI,Burundi,Sub-Saharan Africa,Low income,2021,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108
BEL,Belgium,Europe & Central Asia,High income,2000,,8.964,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2005,,9.237,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2007,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2008,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2009,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2010,0,9.304,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2011,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2012,0,9.304,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2013,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2014,3,9.304,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2015,3,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2016,3,9.304,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2017,3,9.304,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2018,3,9.304,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2019,3,9.308999999999999,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2020,3,9.308999999999999,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEL,Belgium,Europe & Central Asia,High income,2021,3,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056
BEN,Benin,Sub-Saharan Africa,Lower middle income,2000,,.134,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BEN,Benin,Sub-Saharan Africa,Lower middle income,2005,,.134,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BEN,Benin,Sub-Saharan Africa,Lower middle income,2010,,.134,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BEN,Benin,Sub-Saharan Africa,Lower middle income,2012,,.134,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BEN,Benin,Sub-Saharan Africa,Lower middle income,2014,,.25,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BEN,Benin,Sub-Saharan Africa,Lower middle income,2016,,.25,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BEN,Benin,Sub-Saharan Africa,Lower middle income,2017,,.25,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BEN,Benin,Sub-Saharan Africa,Lower middle income,2018,,.483,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BEN,Benin,Sub-Saharan Africa,Lower middle income,2019,,.483,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BEN,Benin,Sub-Saharan Africa,Lower middle income,2020,0,.483,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BEN,Benin,Sub-Saharan Africa,Lower middle income,2021,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2021,0,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,854
BGD,Bangladesh,South Asia,Lower middle income,2000,,17.968,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BGD,Bangladesh,South Asia,Lower middle income,2005,,20.591,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BGD,Bangladesh,South Asia,Lower middle income,2010,,23.423,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BGD,Bangladesh,South Asia,Lower middle income,2012,,26.682,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BGD,Bangladesh,South Asia,Lower middle income,2014,,31.043,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BGD,Bangladesh,South Asia,Lower middle income,2016,,32.941,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BGD,Bangladesh,South Asia,Lower middle income,2017,,33.081,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BGD,Bangladesh,South Asia,Lower middle income,2018,,33.083,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BGD,Bangladesh,South Asia,Lower middle income,2019,,34.467,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BGD,Bangladesh,South Asia,Lower middle income,2020,,34.467,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2000,,62.131,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2005,,62.131,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2010,,65.875,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2012,,65.878,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2014,,66.126,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2016,,67.012,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2017,2,67.51000000000001,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2018,2,69.336,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2019,2,69.336,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2020,2,69.413,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2021,2,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2000,,.328,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2005,,.331,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2010,,.483,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2012,,.725,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2014,,.734,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2016,,.88,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2017,,.881,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2018,,.478,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2019,,.965,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2020,,.971,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070
BLR,Belarus,Europe & Central Asia,Upper middle income,2000,,2.153,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112
BLR,Belarus,Europe & Central Asia,Upper middle income,2005,,3.521,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112
BLR,Belarus,Europe & Central Asia,Upper middle income,2010,,9.558,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112
BLR,Belarus,Europe & Central Asia,Upper middle income,2012,,14.671,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112
BLR,Belarus,Europe & Central Asia,Upper middle income,2014,,20.147,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112
BLR,Belarus,Europe & Central Asia,Upper middle income,2016,,23.971,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112
BLR,Belarus,Europe & Central Asia,Upper middle income,2017,,26.161,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112
BLR,Belarus,Europe & Central Asia,Upper middle income,2018,,27.061,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112
BLR,Belarus,Europe & Central Asia,Upper middle income,2019,,27.645,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112
BLR,Belarus,Europe & Central Asia,Upper middle income,2020,,27.494,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112
BOL,Bolivia (Plurinational State of),Latin America & Caribbean,Lower middle income,2000,,10.917,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,068
BOL,Bolivia (Plurinational State of),Latin America & Caribbean,Lower middle income,2005,,11.28,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,068
