country,ISO,incgrp,wb_region
Curaçao,CUW,High income,Latin America & Caribbean
Cayman Islands,CYM,High income,Latin America & Caribbean
Cyprus,CYP,High income,Europe & Central Asia
Czech Republic,CZE,High income,Europe & Central Asia
Germany,DEU,High income,Europe & Central Asia
Djibouti,DJI,Lower middle income,Middle East & North Africa
Dominica,DMA,Upper middle income,Latin America & Caribbean
Denmark,DNK,High income,Europe & Central Asia
Dominican Republic,DOM,Upper middle income,Latin America & Caribbean
Algeria,DZA,Lower middle income,Middle East & North Africa
Ecuador,ECU,Upper middle income,Latin America & Caribbean
"Egypt, Arab Rep.",EGY,Lower middle income,Middle East & North Africa
Eritrea,ERI,Low income,Sub-Saharan Africa
Spain,ESP,High income,Europe & Central Asia
Estonia,EST,High income,Europe & Central Asia
Ethiopia,ETH,Low income,Sub-Saharan Africa
Finland,FIN,High income,Europe & Central Asia
Fiji,FJI,Upper middle income,East Asia & Pacific
France,FRA,High income,Europe & Central Asia
Faroe Islands,FRO,High income,Europe & Central Asia
"Micronesia, Fed. Sts.",FSM,Lower middle income,East Asia & Pacific
Gabon,GAB,Upper middle income,Sub-Saharan Africa
United Kingdom,GBR,High income,Europe & Central Asia
Georgia,GEO,Upper middle income,Europe & Central Asia
Ghana,GHA,Lower middle income,Sub-Saharan Africa
Gibraltar,GIB,High income,Europe & Central Asia
Guinea,GIN,Low income,Sub-Saharan Africa
"Gambia, The",GMB,Low income,Sub-Saharan Africa
Guinea-Bissau,GNB,Low income,Sub-Saharan Africa
Equatorial Guinea,GNQ,Upper middle income,Sub-Saharan Africa
Greece,GRC,High income,Europe & Central Asia
Grenada,GRD,Upper middle income,Latin America & Caribbean
Greenland,GRL,High income,Europe & Central Asia
Guatemala,GTM,Upper middle income,Latin America & Caribbean
Guam,GUM,High income,East Asia & Pacific
Guyana,GUY,Upper middle income,Latin America & Caribbean
"Hong Kong SAR, China",HKG,High income,East Asia & Pacific
Honduras,HND,Lower middle income,Latin America & Caribbean
Croatia,HRV,High income,Europe & Central Asia
Haiti,HTI,Lower middle income,Latin America & Caribbean
Hungary,HUN,High income,Europe & Central Asia
Indonesia,IDN,Lower middle income,East Asia & Pacific
Isle of Man,IMN,High income,Europe & Central Asia
India,IND,Lower middle income,South Asia
Ireland,IRL,High income,Europe & Central Asia
"Iran, Islamic Rep.",IRN,Lower middle income,Middle East & North Africa
Iraq,IRQ,Upper middle income,Middle East & North Africa
Iceland,ISL,High income,Europe & Central Asia
Israel,ISR,High income,Middle East & North Africa
Italy,ITA,High income,Europe & Central Asia
Jamaica,JAM,Upper middle income,Latin America & Caribbean
Jordan,JOR,Upper middle income,Middle East & North Africa
Japan,JPN,High income,East Asia & Pacific
Kazakhstan,KAZ,Upper middle income,Europe & Central Asia
Kenya,KEN,Lower middle income,Sub-Saharan Africa
Kyrgyz Republic,KGZ,Lower middle income,Europe & Central Asia
Cambodia,KHM,Lower middle income,East Asia & Pacific
Kiribati,KIR,Lower middle income,East Asia & Pacific
St. Kitts and Nevis,KNA,High income,Latin America & Caribbean
"Korea, Rep.",KOR,High income,East Asia & Pacific
Kuwait,KWT,High income,Middle East & North Africa
Lao PDR,LAO,Lower middle income,East Asia & Pacific
Lebanon,LBN,Lower middle income,Middle East & North Africa
Liberia,LBR,Low income,Sub-Saharan Africa
Libya,LBY,Upper middle income,Middle East & North Africa
St. Lucia,LCA,Upper middle income,Latin America & Caribbean
Liechtenstein,LIE,High income,Europe & Central Asia
Sri Lanka,LKA,Lower middle income,South Asia
Lesotho,LSO,Lower middle income,Sub-Saharan Africa
Lithuania,LTU,High income,Europe & Central Asia
Luxembourg,LUX,High income,Europe & Central Asia
Latvia,LVA,High income,Europe & Central Asia
"Macao SAR, China",MAC,High income,East Asia & Pacific
St. Martin (French part),MAF,High income,Latin America & Caribbean
Morocco,MAR,Lower middle income,Middle East & North Africa
Monaco,MCO,High income,Europe & Central Asia
Moldova,MDA,Upper middle income,Europe & Central Asia
Madagascar,MDG,Low income,Sub-Saharan Africa
Maldives,MDV,Upper middle income,South Asia
Mexico,MEX,Upper middle income,Latin America & Caribbean
Marshall Islands,MHL,Upper middle income,East Asia & Pacific
North Macedonia,MKD,Upper middle income,Europe & Central Asia
Mali,MLI,Low income,Sub-Saharan Africa
Malta,MLT,High income,Middle East & North Africa
Myanmar,MMR,Lower middle income,East Asia & Pacific
Montenegro,MNE,Upper middle income,Europe & Central Asia
Mongolia,MNG,Lower middle income,East Asia & Pacific
Northern Mariana Islands,MNP,High income,East Asia & Pacific
Mozambique,MOZ,Low income,Sub-Saharan Africa
Mauritania,MRT,Lower middle income,Sub-Saharan Africa
Mauritius,MUS,Upper middle income,Sub-Saharan Africa
Malawi,MWI,Low income,Sub-Saharan Africa
Malaysia,MYS,Upper middle income,East Asia & Pacific
Namibia,NAM,Upper middle income,Sub-Saharan Africa
New Caledonia,NCL,High income,East Asia & Pacific
Niger,NER,Low income,Sub-Saharan Africa
Nigeria,NGA,Lower middle income,Sub-Saharan Africa
Nicaragua,NIC,Lower middle income,Latin America & Caribbean
Netherlands,NLD,High income,Europe & Central Asia
Norway,NOR,High income,Europe & Central Asia
Nepal,NPL,Lower middle income,South Asia
Nauru,NRU,High income,East Asia & Pacific
New Zealand,NZL,High income,East Asia & Pacific
Oman,OMN,High income,Middle East & North Africa
Pakistan,PAK,Lower middle income,South Asia
Panama,PAN,High income,Latin America & Caribbean
Peru,PER,Upper middle income,Latin America & Caribbean
Philippines,PHL,Lower middle income,East Asia & Pacific
Palau,PLW,Upper middle income,East Asia & Pacific
Papua New Guinea,PNG,Lower middle income,East Asia & Pacific
Poland,POL,High income,Europe & Central Asia
Puerto Rico,PRI,High income,Latin America & Caribbean
"Korea, Dem. People's Rep.",PRK,Low income,East Asia & Pacific
Portugal,PRT,High income,Europe & Central Asia
Paraguay,PRY,Upper middle income,Latin America & Caribbean
West Bank and Gaza,PSE,Lower middle income,Middle East & North Africa
French Polynesia,PYF,High income,East Asia & Pacific
Qatar,QAT,High income,Middle East & North Africa
Romania,ROU,High income,Europe & Central Asia
Russian Federation,RUS,Upper middle income,Europe & Central Asia
Rwanda,RWA,Low income,Sub-Saharan Africa
Saudi Arabia,SAU,High income,Middle East & North Africa
Sudan,SDN,Low income,Sub-Saharan Africa
Senegal,SEN,Lower middle income,Sub-Saharan Africa
Singapore,SGP,High income,East Asia & Pacific
Solomon Islands,SLB,Lower middle income,East Asia & Pacific
Sierra Leone,SLE,Low income,Sub-Saharan Africa
El Salvador,SLV,Lower middle income,Latin America & Caribbean
San Marino,SMR,High income,Europe & Central Asia
Somalia,SOM,Low income,Sub-Saharan Africa
Serbia,SRB,Upper middle income,Europe & Central Asia
South Sudan,SSD,Low income,Sub-Saharan Africa
São Tomé and Príncipe,STP,Lower middle income,Sub-Saharan Africa
Suriname,SUR,Upper middle income,Latin America & Caribbean
Slovak Republic,SVK,High income,Europe & Central Asia
Slovenia,SVN,High income,Europe & Central Asia
Sweden,SWE,High income,Europe & Central Asia
Eswatini,SWZ,Lower middle income,Sub-Saharan Africa
Sint Maarten (Dutch part),SXM,High income,Latin America & Caribbean
Seychelles,SYC,High income,Sub-Saharan Africa
Syrian Arab Republic,SYR,Low income,Middle East & North Africa
Turks and Caicos Islands,TCA,High income,Latin America & Caribbean
Chad,TCD,Low income,Sub-Saharan Africa
Togo,TGO,Low income,Sub-Saharan Africa
Thailand,THA,Upper middle income,East Asia & Pacific
Tajikistan,TJK,Lower middle income,Europe & Central Asia
Turkmenistan,TKM,Upper middle income,Europe & Central Asia
Timor-Leste,TLS,Lower middle income,East Asia & Pacific
Tonga,TON,Upper middle income,East Asia & Pacific
Trinidad and Tobago,TTO,High income,Latin America & Caribbean
Tunisia,TUN,Lower middle income,Middle East & North Africa
Türkiye,TUR,Upper middle income,Europe & Central Asia
Tuvalu,TUV,Upper middle income,East Asia & Pacific
"Taiwan, China",TWN,High income,East Asia & Pacific
Tanzania,TZA,Lower middle income,Sub-Saharan Africa
Uganda,UGA,Low income,Sub-Saharan Africa
Ukraine,UKR,Lower middle income,Europe & Central Asia
Uruguay,URY,High income,Latin America & Caribbean
United States,USA,High income,North America
Uzbekistan,UZB,Lower middle income,Europe & Central Asia
St. Vincent and the Grenadines,VCT,Upper middle income,Latin America & Caribbean
"Venezuela, RB",VEN,,Latin America & Caribbean
British Virgin Islands,VGB,High income,Latin America & Caribbean
Virgin Islands (U.S.),VIR,High income,Latin America & Caribbean
Vietnam,VNM,Lower middle income,East Asia & Pacific
Vanuatu,VUT,Lower middle income,East Asia & Pacific
Samoa,WSM,Lower middle income,East Asia & Pacific
Kosovo,XKX,Upper middle income,Europe & Central Asia
"Yemen, Rep.",YEM,Low income,Middle East & North Africa
South Africa,ZAF,Upper middle income,Sub-Saharan Africa
Zambia,ZMB,Low income,Sub-Saharan Africa
Zimbabwe,ZWE,Lower middle income,Sub-Saharan Africa
